"","doc1","doc2","num_shared_entries","similarity","distance"
"1805","Q000039","Q000039",693,1,0
"925","P273880","P273880",455,1,0
"1761","Q000001","Q000001",448,1,0
"793","P271911","P271911",360,1,0
"661","P271301","P271301",349,1,0
"1233","P388265","P388265",327,1,0
"945","P273880","Q000039",262,0.575824175824176,0.424175824175824
"1785","Q000039","P273880",262,0.575824175824176,0.424175824175824
"177","P247864","P247864",259,1,0
"1013","P332934","P332934",251,1,0
"397","P250736","P250736",223,1,0
"1246","P388265","Q000039",208,0.636085626911315,0.363914373088685
"1792","Q000039","P388265",208,0.636085626911315,0.363914373088685
"687","P271301","Q000039",204,0.584527220630373,0.415472779369627
"1779","Q000039","P271301",204,0.584527220630373,0.415472779369627
"1497","P447996","P447996",169,1,0
"816","P271911","Q000039",151,0.419444444444444,0.580555555555555
"1782","Q000039","P271911",151,0.419444444444444,0.580555555555555
"214","P247864","Q000039",149,0.575289575289575,0.424710424710425
"1768","Q000039","P247864",149,0.575289575289575,0.424710424710425
"669","P271301","P332934",144,0.573705179282869,0.426294820717131
"1005","P332934","P271301",144,0.573705179282869,0.426294820717131
"932","P273880","P388265",125,0.382262996941896,0.617737003058104
"1226","P388265","P273880",125,0.382262996941896,0.617737003058104
"1101","P346714","P346714",123,1,0
"1145","P347814","P347814",122,1,0
"1541","P459216","P459216",121,1,0
"1031","P332934","Q000039",109,0.434262948207171,0.565737051792829
"1787","Q000039","P332934",109,0.434262948207171,0.565737051792829
"1321","P429503","P429503",107,1,0
"674","P271301","P388265",104,0.318042813455657,0.681957186544343
"1220","P388265","P271301",104,0.318042813455657,0.681957186544343
"1585","P459217","P459217",100,1,0
"796","P271911","P273880",97,0.269444444444444,0.730555555555556
"922","P273880","P271911",97,0.269444444444444,0.730555555555556
"667","P271301","P273880",96,0.275071633237822,0.724928366762178
"919","P273880","P271301",96,0.275071633237822,0.724928366762178
"1160","P347814","Q000039",95,0.778688524590164,0.221311475409836
"1790","Q000039","P347814",95,0.778688524590164,0.221311475409836
"749","P271771","P271771",90,1,0
"1547","P459216","Q000039",88,0.727272727272727,0.272727272727273
"1799","Q000039","P459216",88,0.727272727272727,0.272727272727273
"680","P271301","P447996",87,0.514792899408284,0.485207100591716
"1189","P370399","P370399",87,1,0
"1478","P447996","P271301",87,0.514792899408284,0.485207100591716
"309","P250364","P250364",85,1,0
"1629","P459218","P459218",85,1,0
"201","P247864","P388265",84,0.324324324324324,0.675675675675676
"1209","P388265","P247864",84,0.324324324324324,0.675675675675676
"1590","P459217","Q000039",84,0.84,0.16
"1800","Q000039","P459217",84,0.84,0.16
"1504","P447996","Q000039",81,0.479289940828402,0.520710059171598
"1798","Q000039","P447996",81,0.479289940828402,0.520710059171598
"1117","P346714","Q000039",76,0.617886178861789,0.382113821138211
"1789","Q000039","P346714",76,0.617886178861789,0.382113821138211
"194","P247864","P273880",75,0.28957528957529,0.71042471042471
"908","P273880","P247864",75,0.28957528957529,0.71042471042471
"1020","P332934","P429503",75,0.700934579439252,0.299065420560748
"1314","P429503","P332934",75,0.700934579439252,0.299065420560748
"617","P253866","P253866",73,1,0
"1453","P437074","P437074",70,1,0
"682","P271301","P459217",69,0.69,0.31
"1564","P459217","P271301",69,0.69,0.31
"1633","P459218","Q000039",69,0.811764705882353,0.188235294117647
"1801","Q000039","P459218",69,0.811764705882353,0.188235294117647
"1025","P332934","P459216",68,0.56198347107438,0.43801652892562
"1529","P459216","P332934",68,0.56198347107438,0.43801652892562
"188","P247864","P271301",67,0.258687258687259,0.741312741312741
