"","doc1","doc2","num_shared_entries","similarity","distance"
"692","P273880","Q000039",243,0.525974025974026,0.474025974025974
"551","P271301","Q000039",206,0.57703081232493,0.42296918767507
"811","P388265","Q000039",184,0.605263157894737,0.394736842105263
"199","P247864","Q000039",149,0.596,0.404
"626","P271911","Q000039",136,0.382022471910112,0.617977528089888
"533","P271301","P332934",135,0.533596837944664,0.466403162055336
"531","P271301","P273880",106,0.296918767507003,0.703081232492997
"679","P273880","P388265",104,0.342105263157895,0.657894736842105
"731","P332934","Q000039",102,0.403162055335968,0.596837944664032
"874","P447996","Q000039",97,0.62987012987013,0.37012987012987
"538","P271301","P388265",93,0.305921052631579,0.694078947368421
"720","P332934","P429503",93,0.815789473684211,0.184210526315789
"782","P347814","Q000039",93,0.775,0.225
"544","P271301","P447996",92,0.597402597402597,0.402597402597403
"887","P459217","Q000039",89,0.864077669902913,0.135922330097087
"606","P271911","P273880",87,0.24438202247191,0.75561797752809
"186","P247864","P388265",85,0.34,0.66
"881","P459216","Q000039",78,0.666666666666667,0.333333333333333
"527","P271301","P271771",73,0.744897959183674,0.255102040816326
"540","P271301","P429503",72,0.631578947368421,0.368421052631579
"546","P271301","P459217",71,0.689320388349515,0.310679611650485
"173","P247864","P271301",65,0.26,0.74
"724","P332934","P447996",65,0.422077922077922,0.577922077922078
"766","P346714","Q000039",65,0.570175438596491,0.429824561403509
"869","P447996","P459217",65,0.631067961165049,0.368932038834951
"545","P271301","P459216",64,0.547008547008547,0.452991452991453
"726","P332934","P459217",62,0.601941747572815,0.398058252427185
"611","P271911","P347814",61,0.508333333333333,0.491666666666667
"179","P247864","P273880",60,0.24,0.76
"718","P332934","P388265",60,0.237154150197628,0.762845849802372
"725","P332934","P459216",60,0.512820512820513,0.487179487179487
"797","P370399","Q000039",60,0.606060606060606,0.393939393939394
"524","P253866","Q000039",59,0.746835443037975,0.253164556962025
"876","P459216","P459217",59,0.572815533980582,0.427184466019418
"892","P459218","Q000039",59,0.728395061728395,0.271604938271605
"677","P273880","P347814",58,0.483333333333333,0.516666666666667
"836","P429503","Q000039",57,0.5,0.5
"610","P271911","P346714",52,0.456140350877193,0.543859649122807
"685","P273880","P447996",52,0.337662337662338,0.662337662337662
"602","P271771","Q000039",51,0.520408163265306,0.479591836734694
"806","P388265","P459217",51,0.495145631067961,0.504854368932039
"678","P273880","P370399",46,0.464646464646465,0.535353535353535
"866","P437074","Q000039",46,0.638888888888889,0.361111111111111
"543","P271301","P437074",45,0.625,0.375
"674","P273880","P332934",45,0.177865612648221,0.822134387351779
"804","P388265","P447996",45,0.292207792207792,0.707792207792208
"584","P271771","P332934",44,0.448979591836735,0.551020408163265
"805","P388265","P459216",44,0.376068376068376,0.623931623931624
"868","P447996","P459216",44,0.376068376068376,0.623931623931624
"181","P247864","P332934",43,0.172,0.828
"613","P271911","P388265",43,0.141447368421053,0.858552631578947
"676","P273880","P346714",42,0.368421052631579,0.631578947368421
"161","P235262","Q000039",41,0.561643835616438,0.438356164383562
"769","P347814","P388265",41,0.341666666666667,0.658333333333333
"504","P253866","P273880",40,0.506329113924051,0.493670886075949
