"","doc1","doc2","num_shared_entries","similarity","distance"
"1805","Q000039","Q000039",686,1,0
"1761","Q000001","Q000001",478,1,0
"925","P273880","P273880",470,1,0
"661","P271301","P271301",383,1,0
"793","P271911","P271911",358,1,0
"1233","P388265","P388265",317,1,0
"1013","P332934","P332934",266,1,0
"945","P273880","Q000039",254,0.540425531914894,0.459574468085106
"1785","Q000039","P273880",254,0.540425531914894,0.459574468085106
"397","P250736","P250736",224,1,0
"687","P271301","Q000039",217,0.566579634464752,0.433420365535248
"1779","Q000039","P271301",217,0.566579634464752,0.433420365535248
"1246","P388265","Q000039",204,0.643533123028391,0.356466876971609
"1792","Q000039","P388265",204,0.643533123028391,0.356466876971609
"177","P247864","P247864",193,1,0
"1497","P447996","P447996",160,1,0
"816","P271911","Q000039",156,0.435754189944134,0.564245810055866
"1782","Q000039","P271911",156,0.435754189944134,0.564245810055866
"669","P271301","P332934",150,0.56390977443609,0.43609022556391
"1005","P332934","P271301",150,0.56390977443609,0.43609022556391
"1541","P459216","P459216",132,1,0
"1145","P347814","P347814",131,1,0
"1031","P332934","Q000039",122,0.458646616541353,0.541353383458647
"1787","Q000039","P332934",122,0.458646616541353,0.541353383458647
"932","P273880","P388265",120,0.378548895899054,0.621451104100946
"1226","P388265","P273880",120,0.378548895899054,0.621451104100946
"1585","P459217","P459217",119,1,0
"214","P247864","Q000039",118,0.61139896373057,0.38860103626943
"1768","Q000039","P247864",118,0.61139896373057,0.38860103626943
"1101","P346714","P346714",108,1,0
"796","P271911","P273880",107,0.298882681564246,0.701117318435754
"922","P273880","P271911",107,0.298882681564246,0.701117318435754
"1321","P429503","P429503",107,1,0
"674","P271301","P388265",103,0.324921135646688,0.675078864353312
"1220","P388265","P271301",103,0.324921135646688,0.675078864353312
"667","P271301","P273880",97,0.253263707571802,0.746736292428198
"749","P271771","P271771",97,1,0
"919","P273880","P271301",97,0.253263707571802,0.746736292428198
"1547","P459216","Q000039",97,0.734848484848485,0.265151515151515
"1799","Q000039","P459216",97,0.734848484848485,0.265151515151515
"1590","P459217","Q000039",95,0.798319327731092,0.201680672268908
"1800","Q000039","P459217",95,0.798319327731092,0.201680672268908
"1160","P347814","Q000039",94,0.717557251908397,0.282442748091603
"1790","Q000039","P347814",94,0.717557251908397,0.282442748091603
"1189","P370399","P370399",93,1,0
"133","P235262","P235262",89,1,0
"681","P271301","P459216",84,0.636363636363636,0.363636363636364
"1521","P459216","P271301",84,0.636363636363636,0.363636363636364
"680","P271301","P447996",82,0.5125,0.4875
"1026","P332934","P459217",82,0.689075630252101,0.310924369747899
"1478","P447996","P271301",82,0.5125,0.4875
"1572","P459217","P332934",82,0.689075630252101,0.310924369747899
"1025","P332934","P459216",81,0.613636363636364,0.386363636363636
"1529","P459216","P332934",81,0.613636363636364,0.386363636363636
"682","P271301","P459217",79,0.663865546218487,0.336134453781513
