"","doc1","doc2","num_shared_entries","similarity","distance"
"1805","Q000039","Q000039",704,1,0
"925","P273880","P273880",458,1,0
"1761","Q000001","Q000001",455,1,0
"661","P271301","P271301",374,1,0
"793","P271911","P271911",352,1,0
"1233","P388265","P388265",313,1,0
"945","P273880","Q000039",271,0.591703056768559,0.408296943231441
"1785","Q000039","P273880",271,0.591703056768559,0.408296943231441
"1013","P332934","P332934",265,1,0
"397","P250736","P250736",261,1,0
"177","P247864","P247864",249,1,0
"687","P271301","Q000039",235,0.628342245989305,0.371657754010695
"1779","Q000039","P271301",235,0.628342245989305,0.371657754010695
"1246","P388265","Q000039",200,0.638977635782748,0.361022364217252
"1792","Q000039","P388265",200,0.638977635782748,0.361022364217252
"1497","P447996","P447996",157,1,0
"816","P271911","Q000039",155,0.440340909090909,0.559659090909091
"1782","Q000039","P271911",155,0.440340909090909,0.559659090909091
"214","P247864","Q000039",153,0.614457831325301,0.385542168674699
"1768","Q000039","P247864",153,0.614457831325301,0.385542168674699
"669","P271301","P332934",150,0.566037735849057,0.433962264150943
"1005","P332934","P271301",150,0.566037735849057,0.433962264150943
"1541","P459216","P459216",129,1,0
"1031","P332934","Q000039",124,0.467924528301887,0.532075471698113
"1787","Q000039","P332934",124,0.467924528301887,0.532075471698113
"1145","P347814","P347814",121,1,0
"932","P273880","P388265",119,0.380191693290735,0.619808306709265
"1226","P388265","P273880",119,0.380191693290735,0.619808306709265
"667","P271301","P273880",112,0.299465240641711,0.700534759358289
"749","P271771","P271771",112,1,0
"919","P273880","P271301",112,0.299465240641711,0.700534759358289
"1585","P459217","P459217",112,1,0
"1321","P429503","P429503",111,1,0
"674","P271301","P388265",104,0.332268370607029,0.667731629392971
"1189","P370399","P370399",104,1,0
"1220","P388265","P271301",104,0.332268370607029,0.667731629392971
"1547","P459216","Q000039",101,0.782945736434108,0.217054263565892
"1799","Q000039","P459216",101,0.782945736434108,0.217054263565892
"1101","P346714","P346714",99,1,0
"1504","P447996","Q000039",95,0.605095541401274,0.394904458598726
"1798","Q000039","P447996",95,0.605095541401274,0.394904458598726
"681","P271301","P459216",94,0.728682170542636,0.271317829457364
"1521","P459216","P271301",94,0.728682170542636,0.271317829457364
"796","P271911","P273880",92,0.261363636363636,0.738636363636364
"922","P273880","P271911",92,0.261363636363636,0.738636363636364
"1160","P347814","Q000039",92,0.760330578512397,0.239669421487603
"1590","P459217","Q000039",92,0.821428571428571,0.178571428571429
"1790","Q000039","P347814",92,0.760330578512397,0.239669421487603
"1800","Q000039","P459217",92,0.821428571428571,0.178571428571429
"133","P235262","P235262",88,1,0
"680","P271301","P447996",86,0.547770700636943,0.452229299363057
"1478","P447996","P271301",86,0.547770700636943,0.452229299363057
"1020","P332934","P429503",84,0.756756756756757,0.243243243243243
"1314","P429503","P332934",84,0.756756756756757,0.243243243243243
"1025","P332934","P459216",83,0.643410852713178,0.356589147286822
"1529","P459216","P332934",83,0.643410852713178,0.356589147286822
"188","P247864","P271301",82,0.329317269076305,0.670682730923695
"194","P247864","P273880",82,0.329317269076305,0.670682730923695
"650","P271301","P247864",82,0.329317269076305,0.670682730923695
"908","P273880","P247864",82,0.329317269076305,0.670682730923695
"663","P271301","P271771",81,0.723214285714286,0.276785714285714
"747","P271771","P271301",81,0.723214285714286,0.276785714285714
"682","P271301","P459217",78,0.696428571428571,0.303571428571429
"1203","P370399","Q000039",78,0.75,0.25
"1564","P459217","P271301",78,0.696428571428571,0.303571428571429
"1791","Q000039","P370399",78,0.75,0.25
"201","P247864","P388265",77,0.309236947791165,0.690763052208835
"1209","P388265","P247864",77,0.309236947791165,0.690763052208835
"1026","P332934","P459217",74,0.660714285714286,0.339285714285714
"1572","P459217","P332934",74,0.660714285714286,0.339285714285714
"1453","P437074","P437074",72,1,0
"1629","P459218","P459218",71,1,0
"676","P271301","P429503",70,0.630630630630631,0.369369369369369
"1306","P429503","P271301",70,0.630630630630631,0.369369369369369
"617","P253866","P253866",69,1,0
"801","P271911","P347814",67,0.553719008264463,0.446280991735537
"1018","P332934","P388265",67,0.252830188679245,0.747169811320755
"1137","P347814","P271911",67,0.553719008264463,0.446280991735537
"1228","P388265","P332934",67,0.252830188679245,0.747169811320755
"1499","P447996","P459217",65,0.580357142857143,0.419642857142857
"1542","P459216","P459217",65,0.580357142857143,0.419642857142857
"1583","P459217","P447996",65,0.580357142857143,0.419642857142857
"1584","P459217","P459216",65,0.580357142857143,0.419642857142857
"930","P273880","P347814",64,0.528925619834711,0.471074380165289
"1140","P347814","P273880",64,0.528925619834711,0.471074380165289
"309","P250364","P250364",63,1,0
"773","P271771","Q000039",63,0.5625,0.4375
"1332","P429503","Q000039",63,0.567567567567568,0.432432432432432
"1781","Q000039","P271771",63,0.5625,0.4375
"1794","Q000039","P429503",63,0.567567567567568,0.432432432432432
"1117","P346714","Q000039",59,0.595959595959596,0.404040404040404
"1789","Q000039","P346714",59,0.595959595959596,0.404040404040404
"931","P273880","P370399",58,0.557692307692308,0.442307692307692
"1024","P332934","P447996",58,0.369426751592357,0.630573248407643
"1183","P370399","P273880",58,0.557692307692308,0.442307692307692
"1486","P447996","P332934",58,0.369426751592357,0.630573248407643
"1633","P459218","Q000039",57,0.802816901408451,0.197183098591549
"1801","Q000039","P459218",57,0.802816901408451,0.197183098591549
"644","P253866","Q000039",55,0.797101449275362,0.202898550724638
"755","P271771","P332934",55,0.491071428571429,0.508928571428571
"1007","P332934","P271771",55,0.491071428571429,0.508928571428571
"1778","Q000039","P253866",55,0.797101449275362,0.202898550724638
"938","P273880","P447996",54,0.343949044585987,0.656050955414013
"1484","P447996","P273880",54,0.343949044585987,0.656050955414013
"171","P235262","Q000039",53,0.602272727272727,0.397727272727273
"1767","Q000039","P235262",53,0.602272727272727,0.397727272727273
"1240","P388265","P459216",52,0.403100775193798,0.596899224806202
"1534","P459216","P388265",52,0.403100775193798,0.596899224806202
"196","P247864","P332934",51,0.204819277108434,0.795180722891566
"800","P271911","P346714",51,0.515151515151515,0.484848484848485
"994","P332934","P247864",51,0.204819277108434,0.795180722891566
"1094","P346714","P271911",51,0.515151515151515,0.484848484848485
"1241","P388265","P459217",51,0.455357142857143,0.544642857142857
"1577","P459217","P388265",51,0.455357142857143,0.544642857142857
"1461","P437074","Q000039",49,0.680555555555556,0.319444444444444
"1797","Q000039","P437074",49,0.680555555555556,0.319444444444444
"145","P235262","P271301",48,0.545454545454545,0.454545454545455
"649","P271301","P235262",48,0.545454545454545,0.454545454545455
"803","P271911","P388265",48,0.153354632587859,0.846645367412141
"1223","P388265","P271911",48,0.153354632587859,0.846645367412141
"1498","P447996","P459216",48,0.372093023255814,0.627906976744186
"1540","P459216","P447996",48,0.372093023255814,0.627906976744186
"208","P247864","P459216",46,0.356589147286822,0.643410852713178
"1239","P388265","P447996",46,0.292993630573248,0.707006369426752
"1491","P447996","P388265",46,0.292993630573248,0.707006369426752
"1510","P459216","P247864",46,0.356589147286822,0.643410852713178
"679","P271301","P437074",45,0.625,0.375
"812","P271911","P459218",45,0.633802816901408,0.366197183098592
"1435","P437074","P271301",45,0.625,0.375
"1610","P459218","P271911",45,0.633802816901408,0.366197183098592
"927","P273880","P332934",44,0.166037735849057,0.833962264150943
"1011","P332934","P273880",44,0.166037735849057,0.833962264150943
"760","P271771","P388265",42,0.375,0.625
"1222","P388265","P271771",42,0.375,0.625
"1326","P429503","P459216",42,0.378378378378378,0.621621621621622
"1536","P459216","P429503",42,0.378378378378378,0.621621621621622
"165","P235262","P459216",41,0.465909090909091,0.534090909090909
"673","P271301","P370399",41,0.394230769230769,0.605769230769231
"1177","P370399","P271301",41,0.394230769230769,0.605769230769231
"1509","P459216","P235262",41,0.465909090909091,0.534090909090909
"151","P235262","P273880",40,0.454545454545455,0.545454545454545
"907","P273880","P235262",40,0.454545454545455,0.545454545454545
"343","P250364","Q000039",39,0.619047619047619,0.380952380952381
"768","P271771","P459217",39,0.348214285714286,0.651785714285714
"929","P273880","P346714",39,0.393939393939394,0.606060606060606
"1097","P346714","P273880",39,0.393939393939394,0.606060606060606
"1566","P459217","P271771",39,0.348214285714286,0.651785714285714
"1771","Q000039","P250364",39,0.619047619047619,0.380952380952381
"939","P273880","P459216",37,0.286821705426357,0.713178294573643
"1527","P459216","P273880",37,0.286821705426357,0.713178294573643
"940","P273880","P459217",36,0.321428571428571,0.678571428571429
"1057","P332939","P332939",36,1,0
"1190","P370399","P388265",36,0.346153846153846,0.653846153846154
"1232","P388265","P370399",36,0.346153846153846,0.653846153846154
"1570","P459217","P273880",36,0.321428571428571,0.678571428571429
"209","P247864","P459217",35,0.3125,0.6875
"441","P253228","P253228",35,1,0
"1147","P347814","P388265",35,0.289256198347107,0.710743801652893
"1231","P388265","P347814",35,0.289256198347107,0.710743801652893
"1553","P459217","P247864",35,0.3125,0.6875
"529","P253238","P253238",34,1,0
"941","P273880","P459218",33,0.464788732394366,0.535211267605634
"1613","P459218","P273880",33,0.464788732394366,0.535211267605634
"191","P247864","P271911",32,0.1285140562249,0.8714859437751
"200","P247864","P370399",32,0.307692307692308,0.692307692307692
"485","P253233","P253233",32,1,0
"624","P253866","P273880",32,0.463768115942029,0.536231884057971
"705","P271320","P271320",32,1,0
"779","P271911","P247864",32,0.1285140562249,0.8714859437751
"918","P273880","P253866",32,0.463768115942029,0.536231884057971
"1104","P346714","P388265",32,0.323232323232323,0.676767676767677
"1166","P370399","P247864",32,0.307692307692308,0.692307692307692
"1230","P388265","P346714",32,0.323232323232323,0.676767676767677
"207","P247864","P447996",31,0.197452229299363,0.802547770700637
"1032","P332934","X100003",31,1,0
"1467","P447996","P247864",31,0.197452229299363,0.802547770700637
"1830","X100003","P332934",31,1,0
"1849","X100003","X100003",31,1,0
"203","P247864","P429503",30,0.27027027027027,0.72972972972973
"558","P253238","Q000039",30,0.882352941176471,0.117647058823529
"631","P253866","P388265",30,0.434782608695652,0.565217391304348
"1219","P388265","P253866",30,0.434782608695652,0.565217391304348
"1295","P429503","P247864",30,0.27027027027027,0.72972972972973
"1776","Q000039","P253238",30,0.882352941176471,0.117647058823529
"134","P235262","P247864",29,0.329545454545455,0.670454545454545
"176","P247864","P235262",29,0.329545454545455,0.670454545454545
"753","P271771","P273880",29,0.258928571428571,0.741071428571429
"921","P273880","P271771",29,0.258928571428571,0.741071428571429
"934","P273880","P429503",29,0.261261261261261,0.738738738738739
"1312","P429503","P273880",29,0.261261261261261,0.738738738738739
"1333","P429503","X100003",28,0.903225806451613,0.0967741935483871
"1837","X100003","P429503",28,0.903225806451613,0.0967741935483871
"1014","P332934","P332939",27,0.75,0.25
"1056","P332939","P332934",27,0.75,0.25
"1113","P346714","P459218",27,0.380281690140845,0.619718309859155
"1617","P459218","P346714",27,0.380281690140845,0.619718309859155
"1673","P459226","P459226",27,1,0
"190","P247864","P271771",26,0.232142857142857,0.767857142857143
"320","P250364","P271911",26,0.412698412698413,0.587301587301587
"472","P253228","Q000039",26,0.742857142857143,0.257142857142857
"618","P253866","P271301",26,0.376811594202899,0.623188405797101
"660","P271301","P253866",26,0.376811594202899,0.623188405797101
"736","P271771","P247864",26,0.232142857142857,0.767857142857143
"782","P271911","P250364",26,0.412698412698413,0.587301587301587
"1028","P332934","P459226",26,0.962962962962963,0.0370370370370371
"1156","P347814","P459218",26,0.366197183098592,0.633802816901408
"1238","P388265","P437074",26,0.361111111111111,0.638888888888889
"1448","P437074","P388265",26,0.361111111111111,0.638888888888889
"1618","P459218","P347814",26,0.366197183098592,0.633802816901408
"1658","P459226","P332934",26,0.962962962962963,0.0370370370370371
"1774","Q000039","P253228",26,0.742857142857143,0.257142857142857
"153","P235262","P332934",25,0.284090909090909,0.715909090909091
"515","P253233","Q000039",25,0.78125,0.21875
"551","P253238","P447996",25,0.735294117647059,0.264705882352941
"688","P271301","X100003",25,0.806451612903226,0.193548387096774
