"","doc1","doc2","num_shared_entries","similarity","distance"
"1805","Q000039","Q000039",695,1,0
"925","P273880","P273880",457,1,0
"1761","Q000001","Q000001",443,1,0
"661","P271301","P271301",347,1,0
"793","P271911","P271911",319,1,0
"1233","P388265","P388265",295,1,0
"1013","P332934","P332934",271,1,0
"177","P247864","P247864",248,1,0
"945","P273880","Q000039",245,0.536105032822757,0.463894967177243
"1785","Q000039","P273880",245,0.536105032822757,0.463894967177243
"397","P250736","P250736",227,1,0
"687","P271301","Q000039",209,0.602305475504323,0.397694524495677
"1779","Q000039","P271301",209,0.602305475504323,0.397694524495677
"1246","P388265","Q000039",192,0.650847457627119,0.349152542372881
"1792","Q000039","P388265",192,0.650847457627119,0.349152542372881
"1497","P447996","P447996",178,1,0
"214","P247864","Q000039",149,0.600806451612903,0.399193548387097
"1768","Q000039","P247864",149,0.600806451612903,0.399193548387097
"816","P271911","Q000039",142,0.445141065830721,0.554858934169279
"1782","Q000039","P271911",142,0.445141065830721,0.554858934169279
"669","P271301","P332934",139,0.512915129151292,0.487084870848708
"1005","P332934","P271301",139,0.512915129151292,0.487084870848708
"1541","P459216","P459216",129,1,0
"1321","P429503","P429503",123,1,0
"1585","P459217","P459217",120,1,0
"1031","P332934","Q000039",116,0.428044280442804,0.571955719557196
"1787","Q000039","P332934",116,0.428044280442804,0.571955719557196
"1145","P347814","P347814",115,1,0
"1101","P346714","P346714",112,1,0
"932","P273880","P388265",106,0.359322033898305,0.640677966101695
"1226","P388265","P273880",106,0.359322033898305,0.640677966101695
"1590","P459217","Q000039",100,0.833333333333333,0.166666666666667
"1800","Q000039","P459217",100,0.833333333333333,0.166666666666667
"749","P271771","P271771",95,1,0
"1020","P332934","P429503",95,0.772357723577236,0.227642276422764
"1314","P429503","P332934",95,0.772357723577236,0.227642276422764
"1189","P370399","P370399",94,1,0
"1547","P459216","Q000039",94,0.728682170542636,0.271317829457364
"1799","Q000039","P459216",94,0.728682170542636,0.271317829457364
"201","P247864","P388265",90,0.362903225806452,0.637096774193548
"1209","P388265","P247864",90,0.362903225806452,0.637096774193548
"1504","P447996","Q000039",90,0.50561797752809,0.49438202247191
"1798","Q000039","P447996",90,0.50561797752809,0.49438202247191
"674","P271301","P388265",88,0.298305084745763,0.701694915254237
"796","P271911","P273880",88,0.275862068965517,0.724137931034483
"922","P273880","P271911",88,0.275862068965517,0.724137931034483
"1220","P388265","P271301",88,0.298305084745763,0.701694915254237
"1160","P347814","Q000039",86,0.747826086956522,0.252173913043478
"1790","Q000039","P347814",86,0.747826086956522,0.252173913043478
"667","P271301","P273880",85,0.244956772334294,0.755043227665706
"919","P273880","P271301",85,0.244956772334294,0.755043227665706
"309","P250364","P250364",83,1,0
"680","P271301","P447996",80,0.449438202247191,0.550561797752809
"1478","P447996","P271301",80,0.449438202247191,0.550561797752809
"188","P247864","P271301",78,0.314516129032258,0.685483870967742
"650","P271301","P247864",78,0.314516129032258,0.685483870967742
"1629","P459218","P459218",77,1,0
"133","P235262","P235262",76,1,0
"617","P253866","P253866",76,1,0
"1453","P437074","P437074",75,1,0
"194","P247864","P273880",72,0.290322580645161,0.709677419354839
"908","P273880","P247864",72,0.290322580645161,0.709677419354839
"682","P271301","P459217",71,0.591666666666667,0.408333333333333
"1564","P459217","P271301",71,0.591666666666667,0.408333333333333
"663","P271301","P271771",70,0.736842105263158,0.263157894736842
"747","P271771","P271301",70,0.736842105263158,0.263157894736842
"681","P271301","P459216",69,0.534883720930233,0.465116279069767
"1025","P332934","P459216",69,0.534883720930233,0.465116279069767
"1203","P370399","Q000039",69,0.734042553191489,0.265957446808511
"1521","P459216","P271301",69,0.534883720930233,0.465116279069767
"1529","P459216","P332934",69,0.534883720930233,0.465116279069767
"1791","Q000039","P370399",69,0.734042553191489,0.265957446808511
"1117","P346714","Q000039",67,0.598214285714286,0.401785714285714
"1789","Q000039","P346714",67,0.598214285714286,0.401785714285714
"1026","P332934","P459217",66,0.55,0.45
"1572","P459217","P332934",66,0.55,0.45
"676","P271301","P429503",65,0.528455284552846,0.471544715447154
"1018","P332934","P388265",65,0.239852398523985,0.760147601476015
"1228","P388265","P332934",65,0.239852398523985,0.760147601476015
"1306","P429503","P271301",65,0.528455284552846,0.471544715447154
"1499","P447996","P459217",64,0.533333333333333,0.466666666666667
"1583","P459217","P447996",64,0.533333333333333,0.466666666666667
"1024","P332934","P447996",62,0.348314606741573,0.651685393258427
"1486","P447996","P332934",62,0.348314606741573,0.651685393258427
"1633","P459218","Q000039",62,0.805194805194805,0.194805194805195
"1801","Q000039","P459218",62,0.805194805194805,0.194805194805195
"1332","P429503","Q000039",61,0.495934959349593,0.504065040650407
"1794","Q000039","P429503",61,0.495934959349593,0.504065040650407
"801","P271911","P347814",60,0.521739130434783,0.478260869565217
"1137","P347814","P271911",60,0.521739130434783,0.478260869565217
"1240","P388265","P459216",59,0.457364341085271,0.542635658914729
"1534","P459216","P388265",59,0.457364341085271,0.542635658914729
"343","P250364","Q000039",57,0.686746987951807,0.313253012048193
"644","P253866","Q000039",57,0.75,0.25
"803","P271911","P388265",57,0.193220338983051,0.806779661016949
"930","P273880","P347814",57,0.495652173913044,0.504347826086956
"1140","P347814","P273880",57,0.495652173913044,0.504347826086956
"1223","P388265","P271911",57,0.193220338983051,0.806779661016949
"1771","Q000039","P250364",57,0.686746987951807,0.313253012048193
"1778","Q000039","P253866",57,0.75,0.25
"1542","P459216","P459217",56,0.466666666666667,0.533333333333333
"1584","P459217","P459216",56,0.466666666666667,0.533333333333333
"196","P247864","P332934",55,0.221774193548387,0.778225806451613
"994","P332934","P247864",55,0.221774193548387,0.778225806451613
"1241","P388265","P459217",55,0.458333333333333,0.541666666666667
"1577","P459217","P388265",55,0.458333333333333,0.541666666666667
"773","P271771","Q000039",52,0.547368421052632,0.452631578947368
"1781","Q000039","P271771",52,0.547368421052632,0.452631578947368
"441","P253228","P253228",49,1,0
"800","P271911","P346714",49,0.4375,0.5625
"1094","P346714","P271911",49,0.4375,0.5625
"1057","P332939","P332939",48,1,0
"1239","P388265","P447996",47,0.264044943820225,0.735955056179775
"1491","P447996","P388265",47,0.264044943820225,0.735955056179775
"171","P235262","Q000039",46,0.605263157894737,0.394736842105263
"705","P271320","P271320",46,1,0
"1767","Q000039","P235262",46,0.605263157894737,0.394736842105263
"485","P253233","P253233",45,1,0
"679","P271301","P437074",45,0.6,0.4
"1435","P437074","P271301",45,0.6,0.4
"209","P247864","P459217",44,0.366666666666667,0.633333333333333
"755","P271771","P332934",44,0.463157894736842,0.536842105263158
"931","P273880","P370399",44,0.468085106382979,0.531914893617021
"1007","P332934","P271771",44,0.463157894736842,0.536842105263158
"1183","P370399","P273880",44,0.468085106382979,0.531914893617021
"1553","P459217","P247864",44,0.366666666666667,0.633333333333333
"208","P247864","P459216",43,0.333333333333333,0.666666666666667
"1461","P437074","Q000039",43,0.573333333333333,0.426666666666667
"1510","P459216","P247864",43,0.333333333333333,0.666666666666667
"1797","Q000039","P437074",43,0.573333333333333,0.426666666666667
"1498","P447996","P459216",42,0.325581395348837,0.674418604651163
"1540","P459216","P447996",42,0.325581395348837,0.674418604651163
"529","P253238","P253238",41,1,0
"1147","P347814","P388265",41,0.356521739130435,0.643478260869565
"1231","P388265","P347814",41,0.356521739130435,0.643478260869565
"207","P247864","P447996",40,0.224719101123595,0.775280898876405
"812","P271911","P459218",40,0.519480519480519,0.480519480519481
"927","P273880","P332934",40,0.14760147601476,0.85239852398524
"938","P273880","P447996",40,0.224719101123595,0.775280898876405
"1011","P332934","P273880",40,0.14760147601476,0.85239852398524
"1326","P429503","P459216",40,0.32520325203252,0.67479674796748
"1467","P447996","P247864",40,0.224719101123595,0.775280898876405
"1484","P447996","P273880",40,0.224719101123595,0.775280898876405
"1536","P459216","P429503",40,0.32520325203252,0.67479674796748
"1610","P459218","P271911",40,0.519480519480519,0.480519480519481
"200","P247864","P370399",39,0.414893617021277,0.585106382978723
"929","P273880","P346714",39,0.348214285714286,0.651785714285714
"1097","P346714","P273880",39,0.348214285714286,0.651785714285714
"1166","P370399","P247864",39,0.414893617021277,0.585106382978723
"1190","P370399","P388265",38,0.404255319148936,0.595744680851064
"1232","P388265","P370399",38,0.404255319148936,0.595744680851064
"558","P253238","Q000039",37,0.902439024390244,0.0975609756097561
"624","P253866","P273880",37,0.486842105263158,0.513157894736842
"918","P273880","P253866",37,0.486842105263158,0.513157894736842
"1032","P332934","X100003",37,1,0
"1776","Q000039","P253238",37,0.902439024390244,0.0975609756097561
"1830","X100003","P332934",37,1,0
"1849","X100003","X100003",37,1,0
"472","P253228","Q000039",35,0.714285714285714,0.285714285714286
"515","P253233","Q000039",35,0.777777777777778,0.222222222222222
"768","P271771","P459217",35,0.368421052631579,0.631578947368421
"1566","P459217","P271771",35,0.368421052631579,0.631578947368421
"1774","Q000039","P253228",35,0.714285714285714,0.285714285714286
"1775","Q000039","P253233",35,0.777777777777778,0.222222222222222
"673","P271301","P370399",34,0.361702127659574,0.638297872340426
"939","P273880","P459216",34,0.263565891472868,0.736434108527132
"941","P273880","P459218",34,0.441558441558442,0.558441558441559
"1177","P370399","P271301",34,0.361702127659574,0.638297872340426
"1527","P459216","P273880",34,0.263565891472868,0.736434108527132
"1613","P459218","P273880",34,0.441558441558442,0.558441558441559
"151","P235262","P273880",33,0.434210526315789,0.565789473684211
"203","P247864","P429503",33,0.268292682926829,0.731707317073171
"907","P273880","P235262",33,0.434210526315789,0.565789473684211
"1063","P332939","P429503",33,0.6875,0.3125
"1104","P346714","P388265",33,0.294642857142857,0.705357142857143
"1230","P388265","P346714",33,0.294642857142857,0.705357142857143
"1295","P429503","P247864",33,0.268292682926829,0.731707317073171
"1315","P429503","P332939",33,0.6875,0.3125
"165","P235262","P459216",32,0.421052631578947,0.578947368421053
"502","P253233","P388265",32,0.711111111111111,0.288888888888889
"1216","P388265","P253233",32,0.711111111111111,0.288888888888889
"1235","P388265","P429503",32,0.260162601626016,0.739837398373984
"1319","P429503","P388265",32,0.260162601626016,0.739837398373984
"1509","P459216","P235262",32,0.421052631578947,0.578947368421053
"191","P247864","P271911",31,0.125,0.875
"323","P250364","P273880",31,0.373493975903614,0.626506024096386
"779","P271911","P247864",31,0.125,0.875
"911","P273880","P250364",31,0.373493975903614,0.626506024096386
"1325","P429503","P447996",31,0.252032520325203,0.747967479674797
"1493","P447996","P429503",31,0.252032520325203,0.747967479674797
"198","P247864","P346714",30,0.267857142857143,0.732142857142857
"497","P253233","P332934",30,0.666666666666667,0.333333333333333
"940","P273880","P459217",30,0.25,0.75
"1001","P332934","P253233",30,0.666666666666667,0.333333333333333
"1074","P332939","Q000039",30,0.625,0.375
"1080","P346714","P247864",30,0.267857142857143,0.732142857142857
"1156","P347814","P459218",30,0.38961038961039,0.61038961038961
"1570","P459217","P273880",30,0.25,0.75
"1618","P459218","P347814",30,0.38961038961039,0.61038961038961
"1788","Q000039","P332939",30,0.625,0.375
"145","P235262","P271301",29,0.381578947368421,0.618421052631579
