"id_text","id_line","label","lemma","base","skip","entry"
"P273880",248,"b ii 41","niŋ[thing]N baneš[container]N","{ŋeš}niŋ₂ {+ba-an}baneš",0,"niŋ[thing]N_baneš[container]N"
"P332934",148,"o ii 64","ŋešnimbar[palm]N x[NA]NA","{ŋeš}ŋešnimbar x",0,"ŋešnimbar[palm]N_x[NA]NA"
"P271320",38,"r i' 5'","gabaŋal[guard]N gigir[chariot]N","{ŋeš}gaba-gal gigir",0,"gabaŋal[guard]N_gigir[chariot]N"
"Q000039",244,"208","šuʾa[stool]N tibira[sculptor]N","{ŋeš}šu₂-a tibira",0,"šuʾa[stool]N_tibira[sculptor]N"
"P332934",247,"o iv 18'","{ŋeš}|KA×GUD|-x[NA]NA","{ŋeš}|KA×GUD|-x",0,"{ŋeš}|KA×GUD|-x[NA]NA"
"P253228",76,"r ii 15'","hašhur[apple]N","{ŋeš}hašhur",0,"hašhur[apple]N"
"P271911",55,"unknown","unknown","unknown",1,"unknown"
"P271911",337,"r i 25'","lubi[ax]N x[NA]NA","lub x",0,"lubi[ax]N_x[NA]NA"
"Q000039",191,"158","šibir[staff]N šudu[equipped]AJ","{ŋeš}šibir šu-du₇",0,"šibir[staff]N_šudu[equipped]AJ"
"P253230",37,"o ii 15","apin[plow]N zir[break]V/t","{ŋeš}apin zi",0,"apin[plow]N_zir[break]V/t"
"P273880",336,"b iii 64","dagsi[hook]N pa[branch]N mušen[bird]N","{ŋeš}dag-si pa mušen",0,"dagsi[hook]N_pa[branch]N_mušen[bird]N"
"P250361",19,"o ii 7'","ama[mother]N apin[plow]N","{ŋeš}ama apin",0,"ama[mother]N_apin[plow]N"
"P332939",58,"r ii' 2'","gag[nail]N x[NA]NA margida[cart]N","{ŋeš}gag x mar-gid₂-da",0,"gag[nail]N_x[NA]NA_margida[cart]N"
"P271320",8,"o i 3'","guza[chair]N barag[sanctum]N","{ŋeš}gu-za barag",0,"guza[chair]N_barag[sanctum]N"
"P253866",79,"o iii 12'","innušugura[chopper]N","{ŋeš}in-nu-šu-gur₁₀-a",0,"innušugura[chopper]N"
