ašag[field]n_ha-at-num₂[na]na,NA,NA,waṣit[1]sn,NA,NA,NA,NA,bit-kibbi[1]sn,kazallu[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,kiš[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eš[rope]n_absaŋ[strap]n
ašag[field]n_da-ab-ta[na]na,NA,NA,maṣit[1]sn,NA,NA,NA,NA,gupin[1]gn,ŋirlum[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,ensik[1]wn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eš[rope]n_absaŋ[strap]n_murub[middle]n
ašag[field]n_da-ab-ta[na]na_balare[other-side]n,NA,NA,muru[1]sn,NA,NA,NA,NA,arawa[1]sn,ŋirlum-tur[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,saŋŋa[1]wn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eš[rope]n_peš[thick]v/i
ašag[field]n_hu-bu-zi[na]na,NA,NA,enegi[1]sn,NA,NA,NA,NA,zabšali[1]sn,ŋirlum-gula[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,guʾena[1]wn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eš[rope]n_peš[thick]v/i_murgu[shoulder]n
ašag[field]n_ninmug[1]dn,NA,NA,karkara[1]sn,NA,NA,NA,NA,magan[1]gn,zargi[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,bur-mama[1]wn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eš[rope]n_pešturzi[descendants]n
ašag[field]n_par[canal]n_{d}nidaba[na]na,NA,NA,apiʾak[1]sn,NA,NA,NA,NA,meluhha[1]gn,zarrama[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peš[thick]v/i
ašag[field]n_buru[harvest]n_mah[great]v/i,NA,NA,apisal[1]sn,NA,NA,NA,NA,maškan[1]gn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peš[thick]v/i_murgu[shoulder]n
ašag[field]n_buru[harvest]n_mah[great]v/i_tur[small]v/i,NA,NA,eš[1]sn,NA,NA,NA,NA,maškan-šapir[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pešturzi[descendants]n
ašag[field]n_buru[harvest]n_mah[great]v/i_gal[big]v/i,NA,NA,awal[1]sn,NA,NA,NA,NA,maškan-buša[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_buru[harvest]n_mah[great]v/i_enlil[1]dn,NA,NA,akšak[1]sn,NA,NA,NA,NA,zarbilum[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_buru[harvest]n_mah[great]v/i_{d}|sal.tug₂|-a[na]na,NA,NA,umma[1]sn,NA,NA,NA,NA,sarbat[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_{d}en-lil₂-ŋar-ra[na]na,NA,NA,niŋin[1]sn,NA,NA,NA,NA,arbad[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_{d}en-lil₂-igi-bar-ra[na]na,NA,NA,sirara[1]sn,NA,NA,NA,NA,keš[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ašag[field]n_tum[dove]n_ŋar[place]v/t,NA,NA,lagaš[1]sn,NA,NA,NA,NA,lugal-suen[1]sn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
