,designation,period,provenience
P227756,"PBS 05, 130",Old Babylonian,Nippur
P227757,CBS 14013,Middle Babylonian,Nippur
P227758,CBS 14060,Middle Babylonian,Nippur
P227759,SLT 044,Middle Babylonian,Nippur
P227760,CBS 14084,Neo-Babylonian,not entered
P227761,"MSL 16, 127",Middle Babylonian,Nippur
P227762,CBS 14095,Neo-Babylonian,Nippur
P227763,CBS 14098,not entered,not entered
P227764,CBS 14099,Old Babylonian,Nippur
P227765,"PBS 05, 140",Old Babylonian,Nippur
P227766,CBS 14105,Old Babylonian,Nippur
P227767,"PBS 11/3, 023",Old Babylonian,Nippur
P227768,"PBS 11/3, 068",Old Babylonian,Nippur
P227769,"PBS 11/2, 056",Old Babylonian,Nippur
P227770,"PBS 11/1, 003",Old Babylonian,Nippur
P227771,SLT 003,Old Babylonian,Nippur
P227772,SLT 011,Old Babylonian,Nippur
P227773,CBS 14131,Old Babylonian,not entered
P227774,CBS 14132,Old Babylonian,Nippur
P227776,SLT 126,Old Babylonian,Nippur
P227777,CBS 14144,Old Babylonian,Nippur
P227778,"PBS 12, 10",Old Babylonian,Nippur
P227779,CBS 14146,Old Babylonian,Nippur
P227780,CBS 14147,Old Babylonian,Nippur
P227781,CBS 14148,Old Babylonian,Nippur
P227782,CBS 14150,not entered,Nippur
P227783,"PBS 11/3, p. 277, CBS 14156",Old Babylonian,Nippur
P227784,CBS 14157,Old Babylonian,Nippur
P227785,"AfO 29/30, 030, CBS 14160",Old Babylonian,Nippur
P227786,"PBS 12, 08",Old Babylonian,Nippur
P227788,"AfO 29/30, 030, CBS 14191",Old Babylonian,Nippur
P227789,"AfO 29/30, 030, CBS 14196",Old Babylonian,Nippur
P227790,CBS 14210,Middle Babylonian,Nippur
P227791,CBS 15051,Old Babylonian,Nippur
P227792,CBS 15056,Old Babylonian,not entered
P227793,CBS 15057,Old Babylonian,Nippur
P227794,CBS 15058,not entered,not entered
P227795,CBS 15060,Old Babylonian,not entered
P227796,CBS 15065,Old Babylonian,not entered
P227797,CBS 15067,Old Babylonian,not entered
P227798,"PBS 05, 115",Old Babylonian,Nippur
P227799,"PBS 05, 135",Old Babylonian,Nippur
P227800,"AOAT 362, pl.09",Old Babylonian,Nippur
P227801,SLT 002,Neo-Babylonian,Nippur
P227802,CBS 15098,Old Babylonian,Nippur
P227803,CBS 15099,not entered,Nippur
P227804,CBS 15100,Old Babylonian,Nippur
P227805,"PBS 05, 150",Old Babylonian,not entered
P227806,"PBS 05, 114",Old Babylonian,Nippur
P227807,"PBS 05, 112",Old Babylonian,Nippur
P227808,CBS 15221,Old Babylonian,Nippur
P227809,CBS 15222,Old Babylonian,Nippur
P227810,CBS 15226,Old Babylonian,Nippur
P227811,"PBS 05, 111 &amp; 127",Old Babylonian,Nippur
P227812,CBS 15302,Old Babylonian,Nippur
P227813,"PBS 05, 120",Old Babylonian,Nippur
P227814,CBS 15309 + CBS 15315 + CBS 15374,Old Babylonian,Nippur
P227815,CBS 15310 + CBS 15368,Old Babylonian,Nippur
P227816,CBS 15311,Old Babylonian,Nippur
P227817,CBS 15312,Old Babylonian,Nippur
P227818,CBS 15313,Old Babylonian,Nippur
P227819,CBS 15316,Old Babylonian,Nippur
P227820,CBS 15317,Old Babylonian,Nippur
P227821,CBS 15318,not entered,Nippur
P227822,"PBS 05, 121",Old Babylonian,Nippur
P227823,"PBS 05, 109",Old Babylonian,Nippur
P227824,"PBS 05, 113",not entered,Nippur
P227825,CBS 15366,Old Babylonian,Nippur
P227826,CBS 15369,Old Babylonian,Nippur
P227827,CBS 15370 + Ist Ni 05260,Old Babylonian,Nippur
P227828,CBS 15371,Old Babylonian,Nippur
P227829,CBS 15372,Old Babylonian,Nippur
P227830,CBS 15373,Old Babylonian,Nippur
P227831,CBS 15375,Old Babylonian,Nippur
P227832,CBS 15376,Old Babylonian,Nippur
P227833,CBS 15377,Old Babylonian,Nippur
P227834,CBS 15400,Old Babylonian,Nippur
P227835,CBS 15401,Old Babylonian,Nippur
P227836,"PBS 05, 129",Old Babylonian,Nippur
P227837,"PBS 05, 126",Old Babylonian,Nippur
P227838,"PBS 05, 108",Old Babylonian,Nippur
P227839,"PBS 05, 124",Old Babylonian,Nippur
P227840,"PBS 12, 03",Old Babylonian,Nippur
P227841,CBS 15408,Old Babylonian,Nippur
P227842,CBS 15409,Old Babylonian,Nippur
P227843,CBS 15410,Old Babylonian,Nippur
P227844,CBS 15412,Old Babylonian,Nippur
P227845,CBS 15413,Old Babylonian,Nippur
P227846,CBS 15414,Old Babylonian,Nippur
P227847,CBS 15415,Old Babylonian,Nippur
P227848,CBS 15417,Old Babylonian,Nippur
P227849,"EEN 318, CBS 15418",Old Babylonian,Nippur
P227850,CBS 15419,Old Babylonian,Nippur
P227851,SLT 007,Old Babylonian,Nippur
P227852,CBS 19753,Old Babylonian,Nippur
P227853,CBS 19756,Old Babylonian,Nippur
P227854,CBS 19759,not entered,Nippur
P227855,CBS 19788,not entered,Nippur
P227856,"PBS 05, 152",Old Babylonian,Nippur
P227857,CBS 19806,Old Babylonian,Nippur
P227858,CBS 19808 + CBS 19822,Old Babylonian,Nippur
P227859,CBS 19817,not entered,Nippur
P227861,CBS 19819,not entered,Nippur
P227862,CBS 19833,not entered,Nippur
P227863,CBS 19834,Old Babylonian,Nippur
P227864,CBS 19837,not entered,Nippur
P227865,CBS 02136 + CBS 12644,Old Babylonian,Nippur
P227866,CBS 02137,Old Babylonian,Nippur
P227867,CBS 02138,Old Babylonian,Nippur
P227868,"PBS 11/1, 011",Old Babylonian,Nippur
P227869,CBS 02143 + CBS 02247 + CBS 02275 + CBS 09870,Old Babylonian,Nippur
P227870,CBS 02145 + CBS 02252 + CBS 02273+CBS 02276 + UM 29-13-721 + UM 29-15-369 + UM 29-15-529,Old Babylonian,Nippur
P227871,CBS 02146,Old Babylonian,Nippur
P227872,CBS 02147 + CBS 09848 + N 4856,Old Babylonian,Nippur
P227873,SLT 008,Neo-Babylonian,Nippur
P227874,CBS 02165 + CBS 02174 + CBS 02212 + CBS 02346 + CBS 02355 + N 5445,Old Babylonian,Nippur
P227876,CBS 02175 + CBS 11018,Old Babylonian,Nippur
P227878,CBS 02177,Old Babylonian,Nippur
P227879,CBS 02179 + N 4312 + N 4317,Old Babylonian,Nippur
P227880,CBS 02181 + CBS 02229 + CBS 02255 + UM 29-13-720,Old Babylonian,Nippur
P227881,"SLT 118, CBS 2182",Old Babylonian,Nippur
P227882,"PBS 11/2, 001",Old Babylonian,Nippur
P227883,CBS 02211,Old Babylonian,Nippur
P227884,CBS 02234,Old Babylonian,Nippur
P227885,"EEN 323, CBS 02235",Old Babylonian,Nippur
P227886,CBS 02241 + CBS 09850 + CBS 09851 + CBS 11394 + N 4631 + N 5222,Old Babylonian,Nippur
P227888,CBS 02251 + CBS 02274,Old Babylonian,Nippur
P227889,CBS 02254 + CBS 02361 + CBS 03871 + CBS 19792 + UM 29-13-590,Old Babylonian,Nippur
P227890,SLT 005 (CBS 02256),Old Babylonian,Nippur
P227891,CBS 02257,Old Babylonian,Nippur
P227892,CBS 02178 +,Old Babylonian,Nippur
P227893,CBS 02259 + CBS 02341 + CBS 11069 + N 1835 + N 4576 + N 5178 (+) CBS 11009,Old Babylonian,Nippur
P227894,"EEN 298, CBS 02260",Old Babylonian,Nippur
P227895,CBS 02261,Old Babylonian,Nippur
P227896,CBS 02262,Old Babylonian,NippurLexical
P227897,"EEN 318, CBS 02263",Old Babylonian,Nippur
P227898,SLT 176,Old Babylonian,Nippur
P227899,CBS 02265,Old Babylonian,Nippur
P227900,CBS 02267,Old Babylonian,Nippur
P227901,CBS 02282,Old Babylonian,Nippur
P227902,CBS 02304 + CBS 09860,Old Babylonian,Nippur
P227903,CBS 02306,Old Babylonian,Nippur
P227904,"PBS 11/2, 025 + 027",Old Babylonian,Nippur
P227905,CBS 02336 + N 4638,Old Babylonian,Nippur
P227906,"PBS 11/2, 003",Old Babylonian,Nippur
P227907,"PBS 11/2, 002",Old Babylonian,Nippur
P227908,"PBS 11/2, 042",Middle Babylonian,Nippur
P227909,SLT 076,Old Babylonian,Nippur
P227910,"PBS 11/1, 034",Old Babylonian,Nippur
P227911,SLT 174,Old Babylonian,Nippur
P227912,CBS 03854,Old Babylonian,Nippur
P227913,"EEN 298, CBS 03857",Old Babylonian,Nippur
P227914,SLT 083,Old Babylonian,Nippur
P227915,CBS 03860,Old Babylonian,Nippur
P227916,CBS 03864,Neo-Babylonian,Nippur
P227917,CBS 03868,Old Babylonian,Nippur
P227919,SLT 168,Old Babylonian,Nippur
P227922,CBS 03903,Old Babylonian,Nippur
P227923,CBS 03904,Old Babylonian,Nippur
P227924,CBS 03913,not entered,Nippur
P227925,SLT 012,Old Babylonian,Nippur
P227927,CBS 03932,Old Babylonian,Nippur
P227928,CBS 03933,Old Babylonian,Nippur
P227929,CBS 03934,Old Babylonian,Nippur
P227930,"EEN 298, CBS 03935",Old Babylonian,Nippur
P227931,CBS 03939,not entered,not entered
P227932,SLT 246,Old Babylonian,Nippur
P227933,"PBS 11/3, 009",Old Babylonian,Nippur
P227934,"PBS 11/1, p.86, CBS 03959",Old Babylonian,Nippur
P227935,CBS 03961,Old Babylonian,Nippur
P227936,CBS 03962,Old Babylonian,Nippur
P227937,CBS 03963,Old Babylonian,Nippur
P227938,CBS 03965,Old Babylonian,Nippur
P227939,CBS 03968,Old Babylonian,Nippur
P227940,CBS 03972,Old Babylonian,Nippur
P227941,CBS 04477,Neo-Babylonian,not entered
P227942,CBS 04482,Neo-Babylonian,not entered
P227943,"PBS 12, 18",Middle Babylonian,Nippur
P227944,"PBS 12, 16",Middle Babylonian,Nippur
P227945,"PBS 12, 19",Old Babylonian,Nippur
P227946,"PBS 11/2, p. 173, CBS 04601",Old Babylonian,Nippur
P227947,"PBS 12, 50",Old Babylonian,Nippur
P227948,CBS 04608 + CBS 06402 + CBS 07379 + UM 29-16-220 (+) CBS 07950 + UM 29-16-452,Old Babylonian,Nippur
P227949,CBS 04796 + CBS 04797 + CBS 06550,Old Babylonian,Nippur
P227950,SLT 235,Old Babylonian,Nippur
P227951,SLT 074,Old Babylonian,Nippur
P227952,SLT 156,Old Babylonian,Nippur
P227953,SLT 105 + 109 + 148,Old Babylonian,Nippur
P227954,SLT 095,Old Babylonian,Nippur
P227955,SLT 030,Old Babylonian,Nippur
P227956,SLT 149,Old Babylonian,Nippur
P227957,"SLT p. 014, CBS 04807 (unpub. dup.)",Old Babylonian,Nippur
P227958,CBS 04809,Old Babylonian,Nippur
P227959,CBS 04810,Old Babylonian,Nippur
P227960,"SLT p. 014, CBS 04811 (unpub. dup.)",Old Babylonian,Nippur
P227961,"SLT p. 014, CBS 04812 +",Old Babylonian,Nippur
P227962,CBS 04813 + CBS 06853,not entered,not entered
P227963,"SLT p. 014, CBS 04814 (unpub. dup.)",Old Babylonian,Nippur
P227964,CBS 04815,Old Babylonian,Nippur
P227965,SLT 229,Old Babylonian,Nippur
P227966,CBS 04817,Old Babylonian,Nippur
P227967,"SLT p. 014, CBS 04818 (unpub. dup.)",Old Babylonian,Nippur
P227968,SLT 114,Old Babylonian,Nippur
P227969,"SLT p. 014, CBS 04820 (unpub. dup.)",Old Babylonian,Nippur
P227970,"SLT p. 014, CBS 04824 (unpub. dup.)",Old Babylonian,Nippur
P227971,"SLT p. 014, CBS 04825 (unpub. dup.)",Old Babylonian,Nippur
P227972,"SLT p. 014, CBS 04826 (unpub. dup.)",Old Babylonian,Nippur
P227973,SLT 171,Old Babylonian,Nippur
P227974,SLT 068,Old Babylonian,Nippur
P227975,SLT 224,Old Babylonian,Nippur
P227976,SLT 085 + 088,Old Babylonian,Nippur
P227977,"SLT p. 014, CBS 04832 (unpub. dup.)",Old Babylonian,Nippur
P227978,"SLT p. 014, CBS 04833 (unpub. dup.)",Old Babylonian,Nippur
P227979,SLT 033,Old Babylonian,Nippur
P227980,CBS 04835,not entered,not entered
P227981,"SLT p. 014, CBS 04837 (unpub. dup.)",Old Babylonian,Nippur
P227982,"SLT p. 014, CBS 04838 (unpub. dup.)",Old Babylonian,Nippur
P227983,"SLT p. 014, CBS 04839 (unpub. dup.)",Old Babylonian,Nippur
P227984,CBS 04840,not entered,not entered
P227985,"AOAT 362, pl.05 CBS 4841",Old Babylonian,Nippur
P227986,CBS 04842 + CBS 08103,Old Babylonian,Nippur
P227987,CBS 04843,Old Babylonian,Nippur
P227988,SLT 096,Old Babylonian,Nippur
P227989,SLT 075 + 139,Old Babylonian,Nippur
P227990,SLT 054,Old Babylonian,Nippur
P227991,"SP 163, pl.44 T, CBS 04849a",Old Babylonian,Nippur
P227992,SLT 080,Old Babylonian,Nippur
P227993,SLT 150,Old Babylonian,Nippur
P227994,"JCS 25, 174",Old Babylonian,Nippur
P227995,"SLT p. 014, CBS 04853 (unpub. dup.)",Old Babylonian,Nippur
P227996,"SLT p. 014, CBS 04854 (unpub. dup.)",Old Babylonian,Nippur
P227997,SLT 130,Old Babylonian,Nippur
P227998,"SLT p. 014, CBS 04856 (unpub. dup.)",Old Babylonian,Nippur
P227999,CBS 04857,Old Babylonian,Nippur
P228001,CBS 04859,Old Babylonian,Nippur
P228002,CBS 04860,Old Babylonian,Nippur
P228003,SLT 081,Old Babylonian,Nippur
P228004,"SLT p. 014, CBS 04862 (unpub. dup.)",not entered,Nippur
P228005,CBS 04863,Old Babylonian,Nippur
P228006,"SLT p. 014, CBS 04865 (unpub. dup.)",Old Babylonian,Nippur
P228007,SLT 128,Old Babylonian,Nippur
P228008,SLT 019,Old Babylonian,Nippur
P228009,SLT 058,not entered,Nippur
P228010,CBS 04871,Old Babylonian,Nippur
P228011,"SLT p. 014, CBS 04872 (unpub. dup.)",Old Babylonian,Nippur
P228012,CBS 04873,Old Babylonian,Nippur
P228013,CBS 04874,not entered,not entered
P228014,SLT 203,not entered,Nippur
P228015,"SLT p. 014, CBS 04876 (unpub. dup.)",Old Babylonian,Nippur
P228016,SLT 177,Old Babylonian,Nippur
P228017,SLT 090 + 098,Old Babylonian,Nippur
P228018,SLT 032,Old Babylonian,Nippur
P228019,CBS 04880,Old Babylonian,Nippur
P228020,CBS 06002,Old Babylonian,Nippur
P228021,SLT 127,Old Babylonian,Nippur
P228022,CBS 06050a (+) CBS 12745 + N 4633,Old Babylonian,Nippur
P228023,"RA 060, 008-011",Old Babylonian,Nippur
P228024,"JCS 25, 177",Ur III,Nippur
P228025,SLT 212,Old Babylonian,Nippur
P228026,"PBS 11/3, 073",Old Babylonian,Nippur
P228027,"PBS 11/3, 071",Old Babylonian,Nippur
P228028,"PBS 11/3, 074",not entered,Nippur
P228029,"PBS 11/3, 076",Old Babylonian,Nippur
P228030,"PBS 11/3, 072",not entered,Nippur
P228031,"PBS 11/3, p. 203, 276 (part of P228027)",not entered,Nippur
P228032,CBS 07838,Old Babylonian,Nippur
P228033,CBS 07844 (+) CBS 07855 (+) N 5302 (+) HS 1796 + HS 1869,Old Babylonian,Nippur
P228034,CBS 07846 (+) Ist Ni 10288,Old Babylonian,Nippur
P228035,"PBS 11/3, p. 277, CBS 07852",Old Babylonian,Nippur
P228036,CBS 07854,Old Babylonian,Nippur
P228038,CBS 07860,Old Babylonian,Nippur
P228039,CBS 07889,Old Babylonian,Nippur
P228040,CBS 07893,Old Babylonian,Nippur
P228041,CBS 07921,Old Babylonian,Nippur
P228042,CBS 07922,Old Babylonian,Nippur
P228043,"PBS 11/3, p. 277, CBS 07949",Old Babylonian,Nippur
P228044,"MSL 13, 238",Middle Babylonian,Nippur
P228045,CBS 07965,Old Babylonian,Nippur
P228046,CBS 08045,Old Babylonian,Nippur
P228047,CBS 08053 + CBS 08466,Old Babylonian,Nippur
P228048,"EEN 331, CBS 08062",Old Babylonian,Nippur
P228049,SLT 157,Old Babylonian,Nippur
P228050,CBS 08157,Old Babylonian,Nippur
P228051,SLT 042,Old Babylonian,Nippur
P228052,SLT 185,Old Babylonian,Nippur
P228053,CBS 08256,Old Babylonian,Nippur
P228054,CBS 08257,Old Babylonian,Nippur
P228055,CBS 08265,Old Babylonian,Nippur
P228057,CBS 08295,Old Babylonian,Nippur
P228058,SLT 187,Old Babylonian,Nippur
P228059,CBS 08520,Old Babylonian,Nippur
P228060,CBS 08521,Old Babylonian,Nippur
P228061,CBS 08522,Old Babylonian,Nippur
P228063,SLT 238,Old Babylonian,Nippur
P228064,CBS 08578,Old Babylonian,Nippur
P228065,SLT 045,Middle Babylonian,Nippur
P228066,CBS 09196 + CBS 10995 + N 1899 + N 4551,Old Babylonian,Nippur
P228067,"PBS 11/1, 018",Old Babylonian,Nippur
P228068,"EEN 297, CBS 09847+",Old Babylonian,Nippur
P228071,"PBS 05, 142",Old Babylonian,Nippur
P228072,"PBS 05, 138",Old Babylonian,Nippur
P228073,CBS 09859,Old Babylonian,Nippur
P228075,CBS 09861,Old Babylonian,Nippur
P228076,SLT 192,Old Babylonian,Nippur
P228077,CBS 09871 + CBS 11339 + N 4759 + N 5517,Old Babylonian,Nippur
P228078,CBS 09873,Old Babylonian,Nippur
P228079,CBS 09874,Old Babylonian,Nippur
P228080,CBS 09875,Middle Babylonian,Nippur
P228081,SLT 013,Old Babylonian,Nippur
P228082,"EEN 312, N 0673",Old Babylonian,Nippur
P228083,N 0952,Neo-Babylonian,Nippur
P228085,N 0970,Old Babylonian,Nippur
P228086,(part of P228726),Old Babylonian,Nippur
P228087,N 0976,Old Babylonian,Nippur
P228088,N 0981,Old Babylonian,Nippur
P228089,"AOAT 362, pls.21-24, N 1012+",Old Babylonian,Nippur
P228090,N 1330,Old Babylonian,Nippur
P228091,N 1370,Old Babylonian,Nippur
P228092,N 1379 + N 6415 + N 6862 + N 7169,Old Babylonian,Nippur
P228093,N 1446,Old Babylonian,Nippur
P228094,N 1455,Neo-Babylonian,Nippur
P228095,"EEN 256, N 1465 +",Old Babylonian,Nippur
P228096,NABU 2009/35 1,Middle Babylonian,Nippur
P228097,N 1474,Old Babylonian,Nippur
P228098,N 1475,Old Babylonian,Nippur
P228099,"EEN 331, N 1479",Old Babylonian,Nippur
P228100,N 1514,Old Babylonian,Nippur
P228102,N 1531,Neo-Babylonian,Nippur
P228103,N 1532,Neo-Babylonian,Nippur
P228104,(part of P257070),Neo-Babylonian,Nippur
P228105,"MSL 06, 049",Middle Babylonian,Nippur
P228106,"EEN 304, N 1540",Old Babylonian,Nippur
P228107,N 1541b,Old Babylonian,Nippur
P228108,N 1544,Old Babylonian,Nippur
P228109,N 1557,Neo-Babylonian,Nippur
P228110,N 1567,Old Babylonian,Nippur
P228111,N 1576,Old Babylonian,Nippur
P228112,N 1579,Old Babylonian,Nippur
P228113,N 1628,Old Babylonian,Nippur
P228114,N 1636,Old Babylonian,Nippur
P228115,N 1645,Old Babylonian,Nippur
P228116,N 1715,Middle Babylonian,Nippur
P228117,N 1789,Middle Babylonian,Nippur
P228118,"AfO 02, 23-28",Neo-Babylonian,Nippur
P228119,N 1797,Old Babylonian,Nippur
P228120,N 1815,Old Babylonian,Nippur
P228121,N 1860,Old Babylonian,Nippur
P228122,N 1873,Old Babylonian,Nippur
P228123,N 1943,Old Babylonian,Nippur
P228125,N 2052,Neo-Babylonian,Nippur
P228126,N 2070,Old Babylonian,Nippur
P228128,N 2207,Neo-Babylonian,Nippur
P228129,N 2216,Neo-Babylonian,Nippur
P228130,N 2273 + N 2274 + N 2275 + N 2277 + N 2278 + N 2279 + N 2280 + N 2281 + N 2282 + N 2283 + N 2284 + Ist Ni fragments,Neo-Babylonian,Nippur
P228131,N 2276,Neo-Babylonian,Nippur
P228134,(part of P269615),Old Babylonian,Nippur
P228135,N 2334,Old Babylonian,Nippur
P228136,N 2381,Old Babylonian,Nippur
P228137,N 2390,Old Babylonian,Nippur
P228138,N 2429,Old Babylonian,Nippur
P228139,"AfO 02,15-22",Neo-Babylonian,Nippur
P228140,N 2469,Old Babylonian,Nippur
P228141,N 2477,Neo-Babylonian,Nippur
P228142,N 2498,Old Babylonian,Nippur
P228143,N 2535,Neo-Babylonian,Nippur
P228144,N 2537,Old Babylonian,Nippur
P228145,N 2621,Old Babylonian,Nippur
P228147,N 2668,Old Babylonian,Nippur
P228148,N 2735,Old Babylonian,Nippur
P228149,N 2912,Old Babylonian,Nippur
P228150,N 2934,Old Babylonian,Nippur
P228151,N 2946,Old Babylonian,Nippur
P228152,N 2954,Old Babylonian,Nippur
P228153,N 2987,Old Babylonian,Nippur
P228154,N 3078,Old Babylonian,Nippur
P228158,N 3270,Old Babylonian,Nippur
P228159,"StPohl SM 12, 153-154",Old Babylonian,Nippur
P228160,N 3322,Old Babylonian,Nippur
P228162,N 3366,Old Babylonian,Nippur
P228163,"ASJ 22, 241",Neo-Babylonian,Nippur
P228165,N 3430,Old Babylonian,Nippur
P228166,"EEN 317, N 3435",Old Babylonian,Nippur
P228168,N 3502,Old Babylonian,Nippur
P228169,"StPohl SM 12, 154f",Old Babylonian,Nippur
P228170,"MSL 12, 091, N 3585",Middle Babylonian,Nippur
P228172,N 3594,Neo-Babylonian,Nippur
P228173,N 3595,Neo-Babylonian,Nippur
P228174,N 3597 + N 3690,Old Babylonian,Nippur
P228175,N 3602,Old Babylonian,Nippur
P228176,N 3669,Neo-Babylonian,Nippur
P228177,N 3692 + N 3771 + N 4158,Old Babylonian,Nippur
P228178,N 3699,Old Babylonian,Nippur
P228179,N 3702,Old Babylonian,Nippur
P228180,N 3711,Neo-Babylonian,Nippur
P228182,N 3742,Old Babylonian,Nippur
P228184,N 3722 + N 3762 + N 3768 + N 3778 + N 3784 + N 4145 + N 6999,Old Babylonian,Nippur
P228185,N 3772,Old Babylonian,Nippur
P228189,N 3785,Old Babylonian,Nippur
P228191,N 3802,Old Babylonian,Nippur
P228192,N 3984,Old Babylonian,Nippur
P228193,N 3985,Old Babylonian,Nippur
P228194,N 3986 + N 5555,Old Babylonian,Nippur
P228195,N 3987,Old Babylonian,Nippur
P228196,"MSL 06, 082",Middle Babylonian,Nippur
P228197,N 3989,Old Babylonian,Nippur
P228198,N 3990,Old Babylonian,Nippur
P228199,N 3993,Old Babylonian,Nippur
P228200,N 3994,Old Babylonian,Nippur
P228201,N 3995 + N 4012,Old Babylonian,Nippur
P228202,N 3996,Old Babylonian,Nippur
P228204,N 4002,Old Babylonian,Nippur
P228205,N 4003,Old Babylonian,Nippur
P228206,N 4004,Old Babylonian,Nippur
P228207,"MSL 07, 003",Middle Babylonian,Nippur
P228208,N 4008,Old Babylonian,Nippur
P228209,N 4009,Old Babylonian,Nippur
P228210,N 4010,Neo-Babylonian,Nippur
P228211,N 4011,Old Babylonian,Nippur
P228212,N 4013,Neo-Babylonian,Nippur
P228213,N 4014,Old Babylonian,Nippur
P228214,N 4015 + N 5896,Old Babylonian,Nippur
P228215,N 4018,Neo-Babylonian,Nippur
P228216,N 4019,Neo-Babylonian,Nippur
P228217,N 4021,Old Babylonian,Nippur
P228218,N 4023,Old Babylonian,Nippur
P228219,N 4027,Old Babylonian,Nippur
P228220,N 4030,Old Babylonian,Nippur
P228221,N 4031,Old Babylonian,Nippur
P228222,N 4032,Old Babylonian,Nippur
P228223,N 4033,Neo-Babylonian,Nippur
P228224,N 4034,Neo-Babylonian,Nippur
P228225,(part of P263626),Neo-Babylonian,Nippur
P228226,"EEN 305, N 4039",Old Babylonian,Nippur
P228227,N 4044,Old Babylonian,Nippur
P228228,N 4045,Old Babylonian,Nippur
P228230,N 4049,Old Babylonian,Nippur
P228231,N 4050,Old Babylonian,Nippur
P228232,N 4051,Old Babylonian,Nippur
P228233,N 4052,Old Babylonian,Nippur
P228234,N 4053,Old Babylonian,Nippur
P228235,N 4054,Old Babylonian,Nippur
P228236,N 4057,Old Babylonian,Nippur
P228237,N 4059,Old Babylonian,Nippur
P228238,N 4061,Old Babylonian,Nippur
P228239,N 4065,Old Babylonian,Nippur
P228240,N 4066,Old Babylonian,Nippur
P228241,N 4070,Old Babylonian,Nippur
P228242,CBS 06418,Old Babylonian,Nippur
P228243,N 4076,Old Babylonian,Nippur
P228244,N 4079,Old Babylonian,Nippur
P228245,N 4086,Old Babylonian,Nippur
P228246,N 4087,Old Babylonian,Nippur
P228247,N 4091,Old Babylonian,Nippur
P228248,N 4097,Old Babylonian,Nippur
P228250,N 4105,Old Babylonian,Nippur
P228251,N 4107,Old Babylonian,Nippur
P228253,N 4121,Old Babylonian,Nippur
P228254,N 4122,Old Babylonian,Nippur
P228257,N 4149,Old Babylonian,Nippur
P228258,N 4151,Old Babylonian,Nippur
P228259,N 4152,Old Babylonian,Nippur
P228261,N 4259,Old Babylonian,Nippur
P228263,"AOAT 362, pl.19 N 4474+",Old Babylonian,Nippur
P228264,N 4534,Old Babylonian,Nippur
P228266,N 4539,Old Babylonian,Nippur
P228267,N 4541,Old Babylonian,Nippur
P228268,N 4547,Old Babylonian,Nippur
P228269,N 4548,Old Babylonian,Nippur
P228270,N 4549,Old Babylonian,Nippur
P228271,N 4553,Old Babylonian,Nippur
P228272,N 4555,Old Babylonian,Nippur
P228273,N 4558,Old Babylonian,Nippur
P228274,N 4559,Old Babylonian,Nippur
P228275,N 4561,Neo-Babylonian,Nippur
P228276,N 4565,Old Babylonian,Nippur
P228277,N 4569,Old Babylonian,Nippur
P228278,N 4570,Old Babylonian,Nippur
P228279,N 4574,Old Babylonian,Nippur
P228280,N 4575,Old Babylonian,Nippur
P228281,N 4577,Old Babylonian,Nippur
P228283,N 4582,Old Babylonian,Nippur
P228284,N 4583 + N 4733,Old Babylonian,Nippur
P228285,N 4584,Old Babylonian,Nippur
P228286,N 4586,Old Babylonian,Nippur
P228287,N 4588,Old Babylonian,Nippur
P228288,N 4591,Old Babylonian,Nippur
P228289,"EEN 318, N 4597",Old Babylonian,Nippur
P228290,N 4600,Old Babylonian,Nippur
P228291,N 4601,Old Babylonian,Nippur
P228292,N 4614,Old Babylonian,Nippur
P228293,N 4618,Old Babylonian,Nippur
P228294,N 4621,Old Babylonian,Nippur
P228295,N 4622,Old Babylonian,Nippur
P228296,N 4623,Old Babylonian,Nippur
P228297,"EEN 325, N 4624",Old Babylonian,Nippur
P228298,N 4627,Old Babylonian,Nippur
P228299,N 4628,Old Babylonian,Nippur
P228300,N 4629,Old Babylonian,Nippur
P228301,N 4630,Neo-Babylonian,Nippur
P228302,N 4632,Old Babylonian,Nippur
P228303,"EEN 318, N 4634",Old Babylonian,Nippur
P228304,N 4635,Neo-Babylonian,Nippur
P228305,N 4637,Old Babylonian,Nippur
P228307,"EEN 294, N 4640",Old Babylonian,Nippur
P228308,"EEN 309, N 4642",Old Babylonian,Nippur
P228309,N 4620 + N 4643,Old Babylonian,Nippur
P228310,N 4646,Old Babylonian,Nippur
P228311,N 4647,Old Babylonian,Nippur
P228313,N 4650,Old Babylonian,Nippur
P228314,N 4659,Old Babylonian,Nippur
P228315,N 4666,Old Babylonian,Nippur
P228316,N 4673,Old Babylonian,Nippur
P228317,N 4675,Old Babylonian,Nippur
P228318,N 4676,Old Babylonian,Nippur
P228319,N 4680,Old Babylonian,Nippur
P228320,N 4682,Old Babylonian,Nippur
P228321,"EEN 318, N 4683",Old Babylonian,Nippur
P228322,N 4686,Old Babylonian,Nippur
P228323,N 4697,Old Babylonian,Nippur
P228324,N 4698,Old Babylonian,Nippur
P228325,N 4704,Old Babylonian,Nippur
P228326,N 4711,Neo-Babylonian,Nippur
P228327,N 4712,Old Babylonian,Nippur
P228328,N 4717,Old Babylonian,Nippur
P228329,N 4719,Old Babylonian,Nippur
P228331,CBS 06796 + N 4730,Old Babylonian,Nippur
P228332,N 4731,Old Babylonian,Nippur
P228334,"Mesop. Law, 295",Old Babylonian,Nippur
P228335,N 4745,Old Babylonian,Nippur
P228336,N 4748,Old Babylonian,Nippur
