,designation,period,provenience
P002693,"W 17729,bo",Uruk III,Uruk
P003755,"W 20493,51",Uruk III,Uruk
P003756,"W 20493,52",Uruk III,Uruk
P003757,"W 20493,53",Uruk III,Uruk
P003759,"W 20493,55",Uruk III,Uruk
P003760,"W 20493,56",Uruk III,Uruk
P003823,"W 20511,17b",Uruk III,Uruk
P006042,MS 2429/1,Uruk III,Umma
P006043,MS 2429/2,Uruk III,Umma
P006044,MS 2429/3,Uruk III,Umma
P006045,MS 2429/4,Uruk III,Umma
P006046,MS 2429/5,Uruk III,uncertain
P006070,MS 2503/1,Uruk III,Umma
P006071,MS 2503/2,Uruk III,Umma
P006151,MS 2862/04,Uruk III,Umma
P006162,MS 2862/15,Uruk III,Umma
P006181,MS 2863/15,Uruk III,Umma
P006188,MS 2863/22,Uruk III,Umma
P006209,MS 2900/01,Uruk III,Umma
P006210,MS 2900/02,Uruk III,Umma
P006211,MS 2900/03,Uruk III,Umma
P006212,MS 2900/04,Uruk III,Umma
P006213,MS 2900/05,Uruk III,Umma
P006214,MS 2900/06,Uruk III,Umma
P006232,MS 2900/24,Uruk III,Umma
P006275,MS 3883,Uruk III,Umma
P006403,HJN 0020,Uruk III,uncertain
P010006,"Iraq 71, 025 IAS 546",ED IIIa,Abu Salabikh
P010078,"OIP 099, 002",ED IIIa,Abu Salabikh
P010079,"OIP 099, 004",ED IIIa,Abu Salabikh
P010080,"OIP 099, 005",ED IIIa,Abu Salabikh
P010081,"OIP 099, 007",ED IIIa,Abu Salabikh
P010082,"OIP 099, 010",ED IIIa,Abu Salabikh
P010083,"OIP 099, 013",ED IIIa,Abu Salabikh
P010084,"OIP 099, 018 + OIP 099, 019",ED IIIa,Abu Salabikh
P010085,"OIP 099, 021",ED IIIa,Abu Salabikh
P010086,"OIP 099, 023 + 024 + 301 + 412 + 436",ED IIIa,Abu Salabikh
P010087,"OIP 099, 025 (+) 026",ED IIIa,Abu Salabikh
P010088,"OIP 099, 027",ED IIIa,Abu Salabikh
P010089,"OIP 099, 029 + OIP 099, 431",ED IIIa,Abu Salabikh
P010090,"OIP 099, 030",ED IIIa,Abu Salabikh
P010091,"OIP 099, 031",ED IIIa,Abu Salabikh
P010092,"OIP 099, 032",ED IIIa,Abu Salabikh
P010093,"OIP 099, 033",ED IIIa,Abu Salabikh
P010094,"OIP 099, 034",ED IIIa,Abu Salabikh
P010095,"OIP 099, 035",ED IIIa,Abu Salabikh
P010096,"OIP 099, 036",ED IIIa,Abu Salabikh
P010097,"OIP 099, 037",ED IIIa,Abu Salabikh
P010098,"OIP 099, 038",ED IIIa,Abu Salabikh
P010099,"OIP 099, 039",ED IIIa,Abu Salabikh
P010100,"OIP 099, 044",ED IIIa,Abu Salabikh
P010101,"OIP 099, 054 +",ED IIIa,Abu Salabikh
P010102,"OIP 099, 061",ED IIIa,Abu Salabikh
P010103,"OIP 099, 082 + OIP 099, 084",ED IIIa,Abu Salabikh
P010104,"OIP 099, 091",ED IIIa,Abu Salabikh
P010228,"OIP 099, 250",ED IIIa,Abu Salabikh
P010253,"OIP 099, 316",ED IIIa,Abu Salabikh
P010258,"OIP 099, 321",ED IIIa,Abu Salabikh
P010264,"OIP 099, 328",ED IIIa,Abu Salabikh
P010266,"OIP 099, 330",ED IIIa,Abu Salabikh
P010267,"OIP 099, 331",ED IIIa,Abu Salabikh
P010313,"OIP 099, 379",ED IIIa,Abu Salabikh
P010314,"OIP 099, 380",ED IIIa,Abu Salabikh
P010317,"OIP 099, 383",ED IIIa,Abu Salabikh
P010327,"OIP 099, 398",ED IIIa,Abu Salabikh
P010331,"OIP 099, 402",ED IIIa,Abu Salabikh
P010332,"OIP 099, 403",ED IIIa,Abu Salabikh
P010333,"OIP 099, 404",ED IIIa,Abu Salabikh
P010339,"OIP 099, 410",ED IIIa,Abu Salabikh
P010342,"OIP 099, 413",ED IIIa,Abu Salabikh
P010343,"OIP 099, 414",ED IIIa,Abu Salabikh
P010348,"OIP 099, 419",ED IIIa,Abu Salabikh
P010349,"OIP 099, 420",ED IIIa,Abu Salabikh
P010351,"OIP 099, 422",ED IIIa,Abu Salabikh
P010353,"OIP 099, 424",ED IIIa,Abu Salabikh
P010355,"OIP 099, 426",ED IIIa,Abu Salabikh
P010357,"OIP 099, 428",ED IIIa,Abu Salabikh
P010359,"OIP 099, 430",ED IIIa,Abu Salabikh
P010360,"OIP 099, 431",ED IIIa,Abu Salabikh
P010361,"OIP 099, 432",ED IIIa,Abu Salabikh
P010362,"OIP 099, 433",ED IIIa,Abu Salabikh
P010363,"OIP 099, 434",ED IIIa,Abu Salabikh
P010364,"OIP 099, 435",ED IIIa,Abu Salabikh
P010367,"OIP 099, 438",ED IIIa,Abu Salabikh
P010368,"OIP 099, 439",ED IIIa,Abu Salabikh
P010369,"OIP 099, 440",ED IIIa,Abu Salabikh
P010370,"OIP 099, 441",ED IIIa,Abu Salabikh
P010371,"OIP 099, 442",ED IIIa,Abu Salabikh
P010372,"OIP 099, 443",ED IIIa,Abu Salabikh
P010373,"OIP 099, 444",ED IIIa,Abu Salabikh
P010374,"OIP 099, 445",ED IIIa,Abu Salabikh
P010375,"OIP 099, 446",ED IIIa,Abu Salabikh
P010376,"OIP 099, 447",ED IIIa,Abu Salabikh
P010378,"OIP 099, 449",ED IIIa,Abu Salabikh
P010379,"OIP 099, 450",ED IIIa,Abu Salabikh
P010381,"OIP 099, 452",ED IIIa,Abu Salabikh
P010382,"OIP 099, 453",ED IIIa,Abu Salabikh
P010383,"OIP 099, 454",ED IIIa,Abu Salabikh
P010385,"OIP 099, 456",ED IIIa,Abu Salabikh
P010388,"OIP 099, 459",ED IIIa,Abu Salabikh
P010389,"OIP 099, 460",ED IIIa,Abu Salabikh
P010390,"OIP 099, 461",ED IIIa,Abu Salabikh
P010391,"OIP 099, 462",ED IIIa,Abu Salabikh
P010392,"OIP 099, 463",ED IIIa,Abu Salabikh
P010393,"OIP 099, 464",ED IIIa,Abu Salabikh
P010394,"OIP 099, 465",ED IIIa,Abu Salabikh
P010395,"OIP 099, 466",ED IIIa,Abu Salabikh
P010396,"OIP 099, 467",ED IIIa,Abu Salabikh
P010397,"OIP 099, 468",ED IIIa,Abu Salabikh
P010398,"OIP 099, 469",ED IIIa,Abu Salabikh
P010399,"OIP 099, 470",ED IIIa,Abu Salabikh
P010400,"OIP 099, 471",ED IIIa,Abu Salabikh
P010401,"OIP 099, 472",ED IIIa,Abu Salabikh
P010402,"OIP 099, 473",ED IIIa,Abu Salabikh
P010403,"OIP 099, 474",ED IIIa,Abu Salabikh
P010404,"OIP 099, 475",ED IIIa,Abu Salabikh
P010405,"OIP 099, 476",ED IIIa,Abu Salabikh
P010406,"OIP 099, 477",ED IIIa,Abu Salabikh
P010407,"OIP 099, 478",ED IIIa,Abu Salabikh
P010408,"OIP 099, 479",ED IIIa,Abu Salabikh
P010409,"OIP 099, 480",ED IIIa,Abu Salabikh
P010410,"OIP 099, 481",ED IIIa,Abu Salabikh
P010411,"OIP 099, 482",ED IIIa,Abu Salabikh
P010412,"OIP 099, 001 B + OIP 099, 483",ED IIIa,Abu Salabikh
P010413,"OIP 099, 484",ED IIIa,Abu Salabikh
P010414,"OIP 099, 485",ED IIIa,Abu Salabikh
P010415,"OIP 099, 486",ED IIIa,Abu Salabikh
P010416,"OIP 099, 001 I + OIP 099, 487",ED IIIa,Abu Salabikh
P010417,"OIP 099, 488",ED IIIa,Abu Salabikh
P010418,"OIP 099, 489",ED IIIa,Abu Salabikh
P010450,"Iraq 40, 521",ED IIIa,Abu Salabikh
P010452,"Iraq 40, 523",ED IIIa,Abu Salabikh
P010453,IAS 524,ED IIIa,Abu Salabikh
P010454,IAS 525,ED IIIa,Abu Salabikh
P010456,"Iraq 40, 526",ED IIIa,Abu Salabikh
P010457,"Iraq 40, 527",ED IIIa,Abu Salabikh
P010474,L&apos;uomo 02,ED IIIa,uncertain
P010534,"OSP 1, 010",ED IIIa,Nippur
P010540,"OSP 1, 009A (+) 009B (+) 009C",ED IIIa,Nippur
P010547,RIAA 044,ED IIIa,uncertain
P010548,RIAA 046,ED IIIa,uncertain
P010565,SF 001*,ED IIIa,Shuruppak
P010566,SF 001,ED IIIa,Shuruppak
P010567,SF 002,ED IIIa,Shuruppak
P010572,SF 006,ED IIIa,Shuruppak
P010573,SF 007,ED IIIa,Shuruppak
P010574,SF 008,ED IIIa,Shuruppak
P010576,SF 009,ED IIIa,Shuruppak
P010578,SF 010,ED IIIa,Shuruppak
P010580,SF 011,ED IIIa,Shuruppak
P010581,SF 012,ED IIIa,Shuruppak
P010583,SF 013,ED IIIa,Shuruppak
P010585,SF 014,ED IIIa,Shuruppak
P010586,SF 015,ED IIIa,Shuruppak
P010588,SF 016,ED IIIa,Shuruppak
P010590,SF 017,ED IIIa,Shuruppak
P010591,SF 018,ED IIIa,Shuruppak
P010594,SF 019,ED IIIa,Shuruppak
P010595,SF 020,ED IIIa,Shuruppak
P010597,SF 021,ED IIIa,Shuruppak
P010599,SF 022,ED IIIa,Shuruppak
P010600,SF 023,ED IIIa,Shuruppak
P010602,SF 024,ED IIIa,Shuruppak
P010603,SF 025,ED IIIa,Shuruppak
P010607,SF 028,ED IIIa,Shuruppak
P010609,SF 029,ED IIIa,Shuruppak
P010612,SF 032,ED IIIa,Shuruppak
P010613,SF 033,ED IIIa,Shuruppak
P010615,SF 034,ED IIIa,Shuruppak
P010617,SF 035,ED IIIa,Shuruppak
P010624,SF 041,ED IIIa,Shuruppak
P010626,SF 042,ED IIIa,Shuruppak
P010627,SF 043 + SF 074,ED IIIa,Shuruppak
P010629,SF 044,ED IIIa,Shuruppak
P010632,SF 047,ED IIIa,Shuruppak
P010633,SF 048,ED IIIa,Shuruppak
P010635,SF 049,ED IIIa,Shuruppak
P010642,SF 053,ED IIIa,Shuruppak
P010647,SF 057,ED IIIa,Shuruppak
P010649,SF 058,ED IIIa,Shuruppak
P010650,SF 059,ED IIIa,Shuruppak
P010652,SF 061,ED IIIa,Shuruppak
P010653,SF 062,ED IIIa,Shuruppak
P010654,SF 063,ED IIIa,Shuruppak
P010655,SF 064,ED IIIa,Shuruppak
P010658,SF 066,ED IIIa,Shuruppak
P010660,SF 067,ED IIIa,Shuruppak
P010661,SF 068,ED IIIa,Shuruppak
P010662,SF 069,ED IIIa,Shuruppak
P010663,SF 070,ED IIIa,Shuruppak
P010666,SF 072,ED IIIa,Shuruppak
P010667,SF 073,ED IIIa,Shuruppak
P010668,SF 074,ED IIIa,Shuruppak
P010670,SF 075,ED IIIa,Shuruppak
P010672,SF 076,ED IIIa,Shuruppak
P010673,SF 077,ED IIIa,Shuruppak
P010675,SF 079,ED IIIa,Shuruppak
P010676,SF 080,ED IIIa,Shuruppak
P010677,SF 081,ED IIIa,Shuruppak
P010714,TSŠ 0043,ED IIIa,Shuruppak
P010717,TSŠ 0046,ED IIIa,Shuruppak
P010731,TSŠ 0067,ED IIIa,Shuruppak
P010775,TSŠ  0193,ED IIIa,Shuruppak
P010793,TSŠ 0264,ED IIIa,Shuruppak
P010887,TSŠ 0712,ED IIIa,Shuruppak
P010916,TSŠ 0835,ED IIIa,Shuruppak
P010953,TSŠ 0984,ED IIIa,Shuruppak
P010956,"UVB 16, Tf. 33,e &amp; f",ED IIIa,Uruk
P020555,"TMH 5, 141",ED IIIb,Nippur
P020560,HS 0896,ED IIIb,Nippur
