"","doc1","doc2","distance"
"148","P235262","P388265",0.753424657534247
"150","P235262","P429503",0.753424657534247
"191","P247864","P437074",0.75
"577","P271320","Q000039",0.513513513513513
"595","P271771","P447996",0.816326530612245
"684","P273880","P437074",0.75
"168","P247864","P253228",0.552631578947368
"169","P247864","P253233",0.575
"449","P253238","P332934",0.484848484848485
"516","P253866","P437074",0.763888888888889
"526","P271301","P271320",0.540540540540541
"534","P271301","P332939",0.514285714285714
"596","P271771","P459216",0.826530612244898
"147","P235262","P370399",0.780821917808219
"170","P247864","P253238",0.515151515151515
"294","P250364","P388265",0.777777777777778
"426","P253233","P429503",0.6
"430","P253233","P447996",0.6
"431","P253233","P459216",0.6
"728","P332934","P459226",0.111111111111111
"548","P271301","P459226",0.166666666666667
"743","P332939","P459216",0.571428571428571
"882","P459216","X100003",0.5
"165","P247864","P250364",0.805555555555556
"182","P247864","P332939",0.6
"303","P250364","P459218",0.805555555555556
"400","P253228","P459216",0.631578947368421
"456","P253238","P429503",0.575757575757576
"529","P271301","P272243",0.222222222222222
"532","P271301","P332930",0.416666666666667
"542","P271301","P432448",0
"722","P332934","P432448",0
"750","P332939","X100003",0.533333333333333
"827","P429503","P432448",0
"858","P432448","X100003",0
"903","Q000039","X100003",0.533333333333333
"395","P253228","P429503",0.657894736842105
"399","P253228","P447996",0.657894736842105
"413","P253233","P271771",0.675
"851","P432448","P459216",0.0714285714285714
"857","P432448","Q000039",0.0714285714285714
"154","P235262","P447996",0.835616438356164
"501","P253866","P271911",0.848101265822785
"541","P271301","P429504",0.5
"557","P271320","P273880",0.675675675675676
"605","P271911","P273712",0.294117647058823
"712","P332930","Q000039",0.5
"740","P332939","P432448",0.142857142857143
"789","P370399","P437074",0.833333333333333
"793","P370399","P459218",0.851851851851852
"878","P459216","P459226",0.333333333333333
"156","P235262","P459217",0.849315068493151
"236","P250361","Q000039",0.266666666666667
"272","P250363","Q000039",0.0833333333333334
"461","P253238","P459216",0.666666666666667
"510","P253866","P370399",0.860759493670886
"612","P271911","P370399",0.888888888888889
"671","P273712","Q000039",0.352941176470588
"721","P332934","P429504",0.541666666666667
"723","P332934","P437074",0.847222222222222
"736","P332939","P388265",0.685714285714286
"799","P388265","P389511",0.214285714285714
"861","P437074","P459217",0.847222222222222
"896","P459226","Q000039",0.388888888888889
"82","P228196","Q000039",0.375
