"","P228096","P228196","P229426","P235262","P247864","P250361","P250363","P250364","P250371","P250736","P253228","P253233","P253238","P253245","P253866","P271301","P271320","P271771","P271911","P272243","P273712","P273880","P332930","P332934","P332939","P346714","P347814","P370399","P388265","P389511","P429503","P429504","P432448","P437074","P447996","P459216","P459217","P459218","P459226","P492330","Q000001","Q000039","X100003"
"P228096",0,1,1,1,0.692307692307692,1,1,0.923076923076923,1,1,1,1,1,1,1,1,1,1,0.692307692307692,1,1,0.538461538461538,1,1,1,0.923076923076923,1,0.769230769230769,0.923076923076923,1,1,1,1,1,1,1,0.923076923076923,0.769230769230769,1,1,1,0.538461538461538,1
"P228196",1,0,1,1,0.75,1,1,1,1,1,1,1,1,1,0.875,0.9375,1,1,0.6875,1,1,0.8125,0.9375,1,1,1,0.6875,0.9375,1,1,1,1,1,1,0.875,1,1,1,1,1,1,0.375,1
"P229426",1,1,0,0.785714285714286,0.928571428571429,1,1,1,1,1,1,1,1,1,0.928571428571429,0.571428571428571,1,1,1,1,1,0.714285714285714,0.714285714285714,1,1,1,1,0.785714285714286,1,1,1,1,1,1,0.928571428571429,0.857142857142857,1,1,1,1,1,0.5,1
"P235262",1,1,0.785714285714286,0,0.671232876712329,1,1,0.902777777777778,0.8,1,0.815789473684211,0.825,0.96969696969697,0.666666666666667,0.958904109589041,0.465753424657534,0.918918918918919,0.958904109589041,1,1,1,0.561643835616438,0.791666666666667,0.712328767123288,0.8,0.945205479452055,1,0.780821917808219,0.753424657534247,1,0.753424657534247,1,0.857142857142857,0.930555555555556,0.835616438356164,0.493150684931507,0.849315068493151,0.986301369863014,0.777777777777778,1,1,0.383561643835616,0.866666666666667
"P247864",0.692307692307692,0.75,0.928571428571429,0.671232876712329,0,0.533333333333333,0.5,0.805555555555556,0.7,0.986784140969163,0.552631578947368,0.575,0.515151515151515,0.916666666666667,0.734177215189873,0.716,0.783783783783784,0.785714285714286,0.84,1,0.882352941176471,0.708,0.916666666666667,0.812,0.6,0.710526315789474,0.783333333333333,0.696969696969697,0.66,0.785714285714286,0.754385964912281,0.916666666666667,0.571428571428571,0.75,0.805194805194805,0.658119658119658,0.669902912621359,0.716049382716049,0.5,1,1,0.412,0.766666666666667
"P250361",1,1,1,1,0.533333333333333,0,1,1,1,1,1,1,1,1,0.733333333333333,0.8,1,1,0.533333333333333,1,1,0.733333333333333,1,1,1,0.666666666666667,0.933333333333333,0.933333333333333,0.466666666666667,1,1,0.933333333333333,1,0.733333333333333,1,1,1,0.8,1,1,1,0.266666666666667,1
"P250363",1,1,1,1,0.5,1,0,1,1,1,1,1,1,0.916666666666667,1,1,1,1,0.583333333333333,1,1,0.333333333333333,1,1,1,1,0.75,0.75,0.583333333333333,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.0833333333333334,1
"P250364",0.923076923076923,1,1,0.902777777777778,0.805555555555556,1,1,0,0.1,1,0.894736842105263,1,0.96969696969697,0.916666666666667,1,0.888888888888889,0.810810810810811,1,0.638888888888889,1,0.470588235294118,0.680555555555556,1,0.875,0.885714285714286,0.861111111111111,0.875,0.875,0.777777777777778,1,0.986111111111111,1,1,1,0.986111111111111,0.986111111111111,0.986111111111111,0.805555555555556,1,1,1,0.375,1
"P250371",1,1,1,0.8,0.7,1,1,0.1,0,1,1,1,1,1,1,0.8,0.7,1,1,1,1,0.7,1,0.5,1,0.8,1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1
"P250736",1,1,1,1,0.986784140969163,1,1,1,1,0,1,0.95,1,1,1,0.995594713656388,1,0.989795918367347,0.991189427312775,1,1,1,1,1,1,1,1,1,0.991189427312775,1,1,1,1,1,1,1,1,1,1,1,1,0.986784140969163,1
