id_text,text_name,l_no,text
dcclt/P388265,SC 1 022 [OB Ura],i 5,sux:mes[tree]N sux:babbar[white]V/i
dcclt/P388265,SC 1 022 [OB Ura],i 6,sux:mes[tree]N sux:giggi[black]V/i
dcclt/P388265,SC 1 022 [OB Ura],i 7,sux:mes[tree]N sux:Magan[1]GN
dcclt/P388265,SC 1 022 [OB Ura],i 8,sux:mes[blackness]N sux:aʾabak[sea]N sux:Meluhha[1]GN
dcclt/P388265,SC 1 022 [OB Ura],i 9,sux:mes.TU[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 10,sux:elammakum[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 11,sux:šagkal[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 12,sux:šaršabid[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 13,sux:suhuš[offshoot]N
dcclt/P388265,SC 1 022 [OB Ura],i 14,sux:girinum[plant]N
dcclt/P388265,SC 1 022 [OB Ura],i 15,sux:zirdum[olive]N
dcclt/P388265,SC 1 022 [OB Ura],i 16,sux:šiqdum[almond]N
dcclt/P388265,SC 1 022 [OB Ura],i 17,sux:damšelum[plant]N
dcclt/P388265,SC 1 022 [OB Ura],i 18,sux:ilianum[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 19,sux:urnum[cedar]N
dcclt/P388265,SC 1 022 [OB Ura],i 20,sux:urzinum[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 21,sux:hilum[resin]N sux:urzinum[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 22,sux:mirišŋara[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 23,sux:halub[tree]N
dcclt/P388265,SC 1 022 [OB Ura],i 24,sux:šeš[object]N
dcclt/P388265,SC 1 022 [OB Ura],i 26,sux:dih[weed]N
dcclt/P388265,SC 1 022 [OB Ura],ii 15,sux:adar[plant]N
dcclt/P388265,SC 1 022 [OB Ura],ii 16,sux:isimu[sprout]N
dcclt/P388265,SC 1 022 [OB Ura],ii 17,sux:ŋeš[tree]N sux:hursaŋ[mountain]N
dcclt/P388265,SC 1 022 [OB Ura],ii 18,sux:tir[forest]N
dcclt/P388265,SC 1 022 [OB Ura],ii 19,sux:tir[forest]N sux:izi[fire]N sux:gu[eat]V/t
dcclt/P388265,SC 1 022 [OB Ura],ii 20,sux:tir[forest]N sux:eh[insect]N sux:gu[eat]V/t
dcclt/P388265,SC 1 022 [OB Ura],ii 21,sux:šenu[tree]N
dcclt/P388265,SC 1 022 [OB Ura],ii 22,sux:šedug[tree]N
dcclt/P388265,SC 1 022 [OB Ura],ii 23,sux:šeše[tree]N
dcclt/P388265,SC 1 022 [OB Ura],ii 24,sux:arganum[conifer]N
