id_text,text_name,l_no,text
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 3',sux:ŋeštin[vine]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 4',sux:ŋeštinkira[berry]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 6',sux:ŋeštinguruma[~vine]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 7',sux:peš[fig]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 8',sux:peš[fig]N sux:Mari[1]SN
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 9',sux:hašhur[apple]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 10',sux:hašhur[apple]N sux:kur[mountain]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 11',sux:hašhur[apple]N sux:armanu[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 12',sux:hašhur[apple]N sux:damšelum[plant]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 13',sux:hašhur[apple]N sux:baza[dwarf]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 14',sux:hašhur[apple]N sux:šeʾeštub[barley]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 15',sux:šenu[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 16',sux:šedug[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 17',sux:šeše[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 18',sux:šinig[tamarisk]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 19',sux:šinig[tamarisk]N sux:kur[mountain]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 20',sux:šinig[tamarisk]N sux:dili[single]V/i
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 21',sux:šaršabid[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],i 22',sux:šaršabid[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 2',sux:dih[weed]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 3',sux:lamgal[nut]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 4',sux:lamtur[nut]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 5',sux:allanum[oak]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 6',sux:peškal[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 7',sux:ildag[poplar]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 8',sux:ildag[poplar]N sux:kur[mountain]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 9',sux:ildag[poplar]N sux:bur[spread]V/t
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 10',sux:ildag[poplar]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 11',sux:kur[wood]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 12',sux:ŋešaʾabak[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 13',sux:ŋešaʾabak[tree]N sux:Meluhha[1]GN
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 14',sux:ŋipar[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 15',sux:manu[wood]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 16',sux:manu[wood]N sux:duru[wet]V/i
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 17',sux:manu[wood]N sux:šu[hand]N sux:ak[do]V/t
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 18',sux:manu[wood]N sux:gibil[firewood]N sux:ak[do]V/t
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 19',sux:manu[wood]N sux:muran[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 20',sux:nurma[pomegranate]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 21',sux:KID.da[twig]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 22',sux:KID.da[twig]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 23',sux:KID.da[twig]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 24',sux:mes[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],ii 25',sux:mes[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 1,sux:mes[tree]N sux:Meluhha[1]GN
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 2,sux:mes[tree]N sux:Kiengir[1]GN
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 3,sux:mes[tree]N sux:halub[tree]N sux:harran[route]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 4,sux:šennur[plum]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 5,sux:eren[cedar]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 6,sux:šurmen[cypress]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 7,sux:zabalum[juniper]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 8,sux:elammakum[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 9,sux:girinum[plant]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 10,sux:girim[flower]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 11,sux:zirdum[olive]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 12,sux:tiʾarum[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 13,sux:ilianum[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 15,sux:urnum[cedar]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 16,sux:urzinum[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 17,sux:armanu[tree]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 18,sux:arganum[conifer]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 20,sux:uluh[sapling]N sux:kiri[orchard]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 21,sux:kiri[orchard]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 22,sux:ŋešnimbar[palm]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 23,sux:ŋešnimbar[palm]N sux:kur[mountain]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 24,sux:ŋešnimbar[palm]N sux:suhuš[offshoot]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 25,sux:ŋešnimbar[palm]N sux:Dilmun[1]GN
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 26,sux:ŋešnimbar[palm]N sux:Magan[1]GN
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 27,sux:ŋešnimbar[palm]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iii 28,sux:ŋešnimbar[palm]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iv 3,sux:ŋešnimbar[palm]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iv 4,sux:ŋešnimbar[palm]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iv 5,sux:šag[heart]N sux:ŋešnimbar[palm]N
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],iv 6,sux:ŋešnimbar[palm]N
