id_text,text_name,l_no,text
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 3',sux:ig[door]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 4',sux:ig[door]N sux:papah[cella]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 5',sux:ig[door]N sux:e[house]N sux:gal[big]V/i
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 6',sux:ig[door]N sux:gi[reed]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 7',sux:ig[door]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 8',sux:ig[door]N sux:zena[midrib]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 9',sux:ig[door]N sux:miriza[plank]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 10',sux:ig[door]N sux:ul[fruit]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 11',sux:ig[door]N sux:ul[fruit]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 13',sux:barda[crossbar]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 16',sux:ig[door]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 17',sux:ig[door]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 35',sux:saŋkul[bolt]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a i 36',sux:saŋkul[bolt]N sux:nim[high]V/i
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 2',sux:balak[spindle]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 3',sux:balak[spindle]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 4',sux:e[house]N sux:balak[spindle]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 5',sux:saŋ[head]N sux:balak[spindle]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 6',sux:mete[appropriate-thing]N sux:balak[spindle]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 32',sux:ŋešpu[rim]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 33',sux:ŋešpu[rim]N sux:mansim[sieve]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 34',sux:gur[rim]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 35',sux:gur[rim]N sux:mansim[sieve]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 36',sux:gur[rim]N sux:bandudu[basket]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 37',sux:gur[rim]N sux:balaŋ[instrument]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),a ii 38',sux:gur[rim]N sux:balaŋdi[instrument]N
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),b i 1',sux:apin[plow]N
