sheep,ewe,goat,lamb,kid,ox,young,equid,donkey,equid,donkey,snake,lion_lioness,dog,tiger_wild-animal,dog,cat,monkey,gazelle,animal,goat_ram,elephant,multitude,insect,fly,locust,rodent,mongoose_sorcerer,turtle,pig,ant,animal,scorpion,frog,flesh
udu[sheep]n_aslum[sheep]n_gukkal[sheep]n,u[ewe]n_sila[lamb]n_du[go]v/t,maš[goat]n,sila[lamb]n_ga[milk]n,NA,gud[ox]n_babbar[white]v/i,amar[young]n_mu[year]n_1(aš)[na]na,NA,NA,NA,NA,muš[snake]n_kindar[hole]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uman[insect]n_še[barley]n,nim[fly]n_bi₂-bi₂-a[na]na_šagtur[womb]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gu₂.mur[throat]n
udu[sheep]n_gukkal[sheep]n,u[ewe]n_sila[lamb]n_šub[fall]v/t,mašgal[goat]n,sila[lamb]n_ga[milk]n_gu[eat]v/t,NA,gud[ox]n_giggi[black]v/i,amar[young]n_babbar[white]v/i,NA,NA,NA,NA,muš[snake]n_kiʾuš[waste]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uman[insect]n_nisig[greenery]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_|ud.ne|[na]na
udu[sheep]n_gukkal[sheep]n_niga[fattened]v/i,u[ewe]n_si[horn]n_mu[grow]v/t,maš[goat]n_saŋ[head]n,sila[lamb]n_ga[milk]n_naŋ[drink]v/t,NA,gud[ox]n_su[red]v/i,amar[young]n_giggi[black]v/i,NA,NA,NA,NA,muš[snake]n_ŋušur[beam]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uman[insect]n_zid[flour]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ubur[breast]n
udu[sheep]n_gukkal[sheep]n_niga[fattened]v/i_sag[rare]v/i,u[ewe]n_deg[collect]v/t,maš[goat]n_zu[tooth]n,sila[lamb]n_ga[milk]n_sub[rub]v/t,NA,gud[ox]n_sissig[green]v/i,amar[young]n_su[red]v/i,NA,NA,NA,NA,muš[snake]n_šagtur[womb]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uman[insect]n_ŋušur[beam]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_akan[nipple]n
udu[sheep]n_gukkal[sheep]n_ib[hips]n_la[hang]v/t,u[ewe]n_na[cvne]n_deg[collect]v/t,maš[goat]n_zu[tooth]n_rah[beat]v/t,kir[lamb]n_gub[~sheep]v/t,NA,gud[ox]n_gunu[speckled]v/i,amar[young]n_sissig[green]v/i,NA,NA,NA,NA,muš[snake]n_saŋ[head]n_imin[seven]nu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uman[insect]n_dun[na]na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_te[cheek]n
udu[sheep]n_tu[sheep]n,u[ewe]n_gangig[miscarriage]n_dug[speak]v/t,maš[goat]n_gaba[chest]n,sila[lamb]n_gub[~sheep]v/t,NA,gud[ox]n_dalla[bright]v/i,amar[young]n_gunu[speckled]v/i,NA,NA,NA,NA,muš[snake]n_eme[tongue]n_min[two]nu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gu[neck]n
udu[sheep]n_ad[crippled]v/i,NA,maš[goat]n_gabaria[offering]n,kir[lamb]n_dili[single]v/i_ur[pluck]v/t,NA,gud[ox]n_kur[mountain]n,NA,NA,NA,NA,NA,muš[snake]n_saŋkal[foremost]aj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gumur[spine]n
udu[sheep]n_kudkudra[disabled]n,NA,maš[goat]n_igidu[gift]n,sila[lamb]n_dili[single]v/i_ur[pluck]v/t,NA,gud[ox]n_hunu[weak]v/i,NA,NA,NA,NA,NA,muš[snake]n_si[horn]n_gur[lift]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_zukešed[knot]n_gumur[spine]n
udu[sheep]n_deg[collect]v/t,NA,maš[goat]n_gub[~sheep]v/t,NA,NA,gud[ox]n_a₂.gur.x[~oxen]n,NA,NA,NA,NA,NA,muš[snake]n_kun[tail]n_kud[cut]v/t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gubalŋešdua[hump]n
udu[sheep]n_na[cvne]n_deg[collect]v/t,NA,maš[goat]n_lipiš[innards]n,NA,NA,gud[ox]n_a₂.gur.x.x[~oxen]n,NA,NA,NA,NA,NA,muš[snake]n_šagsig[weft]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_zag[side]n_udu[sheep]n
