,id_line,label,lemma,base,extent,scope,id_text,line
0,P224988.4,o i 1,gubi[bird]N,gu-bi{mušen},,,P224988,4
1,P224988.5,o i 2,u[bird]N,u₂{mušen},,,P224988,5
2,P224988.6,o i 3,esig[bird]N,u₂-sig{mušen},,,P224988,6
3,P225020.4,o i 1,hiz[vegetable]N,hi-iz{sar},,,P225020,4
4,P225020.5,o i 2,hizurbara[vegetable]N,hi-iz-ur-bar-ra{sar},,,P225020,5
5,P225020.6,o i 3,hiz[vegetable]N dug[good]V/i,hi-iz dug₃,,,P225020,6
6,P225024.3,o 1,dušia[stone]N,{na₄}du₈-ši-a,,,P225024,3
7,P225024.4,o 2,kišib[seal]N dušia[stone]N,{na₄}kišib du₈-ši-a,,,P225024,4
8,P225024.5,o 3,lagab[block]N dušia[stone]N,{na₄}lagab du₈-ši-a,,,P225024,5
9,P225027.4,o i 1,šagida[garment]N,{tug₂}šag₄-gi-dab₅,,,P225027,4
10,P225027.5,o i 2,šagida[garment]N su[red]V/i,{tug₂}šag₄-gi-dab₅ su₃,,,P225027,5
11,P225027.6,o i 3,šagida[garment]N gunu[speckled]V/i,{tug₂}šag₄-gi-dab₅ gun₃,,,P225027,6
12,P225070.3,o 1,kišib[seal]N zagin[lapis]N,{na₄}kišib za-gin₃,,,P225070,3
13,P225070.4,o 2,lagab[block]N zagin[lapis]N,{na₄}lagab za-gin₃,,,P225070,4
14,P225070.5,o 3,ellaŋ[bead]N zagin[lapis]N,{na₄}ellaŋ₂ za-gin₃,,,P225070,5
15,P225075.4,o i 1,šagadu[belt]N,{tug₂}šag₄-ga-du₃,,,P225075,4
16,P225075.5,o i 2,šagadu[belt]N x[NA]NA,{tug₂}šag₄-ga-du₃ x,,,P225075,5
17,P225075.6,o i 3,šagadu[belt]N x[NA]NA,{tug₂}šag₄-ga-du₃ x,,,P225075,6
18,P225111.3,,,,n,line,P225111,3
19,P225111.5,r 1,algameš[stone]N,{na₄}algameš(|SAL.HUB₂|),,,P225111,5
20,P225111.6,r 2,kišib[seal]N algameš[stone]N,{na₄}kišib algameš(|SAL.HUB₂|),,,P225111,6
21,P225111.7,r 3,lagab[block]N algameš[stone]N,{na₄}lagab algameš(|SAL.HUB₂|),,,P225111,7
22,P235724.3,o 1,siki[hair]N peš[comb]V/t,siki i°b₂-š·i,,,P235724,3
23,P235724.4,o 2,siki[hair]N peš[comb]V/t,siki i°b₂-š·i,,,P235724,4
24,P235724.5,o 3,siki[hair]N hi[mix]V/t,siki hi,,,P235724,5
25,P249315.4,,,,7,line,P249315,4
26,P249315.5,o i 8,na[stone]N Dimme[1]DN,na₄ {d}dim₃-me,,,P249315,5
27,P249315.6,o i 9,zibtum[stone?]N,{na₄}zi-ib-tum,,,P249315,6
