id_text,text_name,provenance
dcclt/P253896,CUSAS 12 3.1.16 [OB Ura],unprovenanced
dcclt/P253899,CUSAS 12 3.1.17 [OB Ura],unprovenanced
dcclt/P253923,CUSAS 12 3.1.18 [OB Ura],unprovenanced
dcclt/P253927,CUSAS 12 3.1.19 [OB Ura],unprovenanced
dcclt/P254360,HSAO 9 59 1 [OB Ura],unprovenanced
dcclt/P272532,LoC 004 [OB Ura],unprovenanced
dcclt/P273706,TCVC 776 [OB Ura],unprovenanced
dcclt/P273712,TCVC 782 [OB Ura],unprovenanced
dcclt/P273880,CUSAS 12 3.1.01 [OB Ura],unprovenanced
dcclt/P296528,BRM 4 31 [OB Ura],unprovenanced
dcclt/P297185,BIN 02 065 [OB Ura],unprovenanced
dcclt/P297194,BIN 02 050 [OB Ura],unprovenanced
dcclt/P297195,BIN 02 054 [OB Ura],unprovenanced
dcclt/P299494,EEN 287 NBC 08048 [OB Ura],unprovenanced
dcclt/P299509,EEN 287 NBC 08063 [OB Ura],unprovenanced
dcclt/P303955,EEN 394 NCBT 01918 (EEN 394 NCBT 01918) [OB Ura],unprovenanced
dcclt/P312012,EEN 284 YBC 12048 [OB Ura],unprovenanced
dcclt/P345549,CT 44 43,unprovenanced
dcclt/P346714,UET 6 0677 + 0678 + UET 7 0087 + 0091 (UET 6 0677 + 0678 + UET 7 087 + 0091),Ur
dcclt/P346865,UET 6 0828 [OB Ura],Ur
dcclt/P346866,UET 6 0829 [OB Ura],Ur
dcclt/P346867,UET 6 0830 [OB Ura],Ur
dcclt/P346868,UET 6 0831 [OB Ura],Ur
dcclt/P346869,UET 6 0832 [OB Ura],Ur
dcclt/P346872,UET 6 0835 [OB Ura],Ur
dcclt/P346897,UET 6 0860 [OB Ura],Ur
dcclt/P347516,OECT 15 174 [OB Ura],unprovenanced
dcclt/P347814,Ashm 1923-0402 (MSL SS 1 096),unprovenanced
dcclt/P347815,Ashm 1923-0417 (MSL SS 1 097) [OB Ura],unprovenanced
dcclt/P349171,AUWE 23 174 [OB Ura],Uruk
dcclt/P349173,AUWE 23 176 [Sign list],Uruk
dcclt/P369718,OBTI 290 [OB Ura],unprovenanced
dcclt/P370399,LTBA 1 79 [OB Ura],unprovenanced
dcclt/P382665,www hag 04 [OB Ura],unprovenanced
dcclt/P388265,SC 1 022 [OB Ura],unprovenanced
dcclt/P388330,SC 2 014 [OB Ura],unprovenanced
dcclt/P388563,SC-UCLA 31719_15 [OB Ura],unprovenanced
dcclt/P389437,EEN 290 LB 0998 [OB Ura],unprovenanced
dcclt/P389511,EEN 287-288 [OB Ura],unprovenanced
dcclt/P423759,MG 2005.006.0011 [OB Ura],unprovenanced
dcclt/P432448,MMUM 35433 [OB Ura],unprovenanced
dcclt/P433291,X.3.319 [OB Ura],unprovenanced
dcclt/P447996,Anonymous 447996 [OB Ura],unprovenanced
dcclt/P459216,EEN 264-265 IB 1535+ [OB Ura],Isin
dcclt/P459217,EEN 263-64 IB 1547 [OB Ura],Isin
dcclt/P459218,EEN 265-66 IB 1512c + [OB Ura],Isin
dcclt/P459219,EEN 266 IB 1701 [OB Ura],Isin
dcclt/P459220,EEN 267 IB 1620 [OB Ura],Isin
dcclt/P459221,EEN 267 IB 1495 [OB Ura],Isin
dcclt/P459222,EEN 267 IB 1613 [OB Ura],Isin
dcclt/P459223,EEN 267 IB 1618 [OB Ura],Isin
dcclt/P459224,EEN 267 IB 1619 [OB Ura],Isin
dcclt/P459225,EEN 268 IB 1566 [OB Ura],Isin
dcclt/P459226,EEN 279-81 VAT 06588 (EEN 279-81 VAT 06588) [OB Ura],unprovenanced
dcclt/P459227,EEN 282 BM 016653 (EEN 282 BM 016653) [OB Ura],unprovenanced
dcclt/P459228,JCS 08 146 Patterson 13 [OB Ura],unprovenanced
dcclt/P459230,EEN 287 StLouis 243 [OB Ura],unprovenanced
dcclt/P459231,EEN 287 StLouis 244 [OB Ura],unprovenanced
dcclt/P459784,FLP 1168 [OB Ura],unprovenanced
dcclt/P492330,AO 05401 (MSL SS 1 97-98) [OB Ura],unprovenanced
