,id_line,label,lemma,base,extent,scope,id_text,line
0,P235651.1,1,kur[mountain]N eren[cedar]N,kur {ŋeš}eren{ki},,,P235651,1
1,P235651.2,2,kurbal[country]N,kur-bal{ki},,,P235651,2
2,P235651.3,3,Guʾabak[1]SN,gu₂-ab-ba{ki},,,P235651,3
3,P253856.4,o 1,Šumundar[1]WN,{id₂}šu-mu-dar,,,P253856,4
4,P253856.5,o 2,Mušbiʾana[1]WN,{id₂}muš₂-bi-an-na,,,P253856,5
5,P253856.6,o 3,Mekalkal[1]WN,{id₂}me-kal-kal,,,P253856,6
6,P253891.3,o 1,ašag[field]N dud[mound]N,a-šag₄ du₆,,,P253891,3
7,P253891.4,o 2,ašag[field]N dud[mound]N Suen[1]DN,a-šag₄ du₆ {d}suen,,,P253891,4
8,P253891.5,o 3,ašag[field]N dud[mound]N sal[thin]V/i,a-šag₄ du₆ sal,,,P253891,5
9,P272534.3,o 1,ašag[field]N agar[meadow]N,a-šag₄ a-gar₃,,,P272534,3
10,P272534.4,o 2,ašag[field]N agar[meadow]N mah[great]V/i,a-šag₄ a-gar₃ mah,,,P272534,4
11,P272534.5,o 3,ašag[field]N agar[meadow]N gibil[new]V/i,a-šag₄ a-gar₃ gibil,,,P272534,5
12,P272534.7,r 1,ašag[field]N agar[meadow]N,a-šag₄ a-gar₃,,,P272534,7
13,P272534.8,r 2,ašag[field]N agar[meadow]N mah[great]V/i,a-šag₄ a-gar₃ mah,,,P272534,8
14,P272534.9,r 3,ašag[field]N agar[meadow]N gibil[new]V/i,a-šag₄ a-gar₃ gibil,,,P272534,9
15,P346860.2,o 1,Urim[1]SN,urim₂{ki},,,P346860,2
16,P346860.3,o 2,Nibru[1]SN,nibru{ki},,,P346860,3
17,P346860.4,o 3,Isin[1]SN,i₃-si-in{ki},,,P346860,4
18,P346860.5,o 4,x{ki}[NA]NA,x{ki},,,P346860,5
