"","P228196","P229426","P235262","P247864","P250361","P250363","P250364","P250371","P250736","P253228","P253233","P253238","P253245","P253866","P271301","P271320","P271771","P271911","P272243","P273712","P273880","P332930","P332934","P332939","P346714","P347814","P370399","P388265","P389511","P429503","P429504","P432448","P437074","P447996","P459216","P459217","P459218","P459226","P492330","Q000001","Q000039","X100003"
"P346714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763157894736842,0.898989898989899,0.666666666666667,1,0.93859649122807,1,0.928571428571429,1,0.991228070175439,0.956140350877193,0.990291262135922,0.679012345679012,1,1,1,0.421052631578947,0.966666666666667
"P347814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929292929292929,0.691666666666667,1,1,1,1,0.986111111111111,1,1,0.990291262135922,0.666666666666667,1,1,1,0.308333333333333,1
"P370399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616161616161616,1,0.95959595959596,1,1,0.833333333333333,0.96969696969697,0.808080808080808,0.939393939393939,0.851851851851852,1,1,1,0.282828282828283,1
"P388265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0.719298245614035,0.958333333333333,0.571428571428571,0.722222222222222,0.74025974025974,0.581196581196581,0.533980582524272,0.691358024691358,0.666666666666667,1,1,0.371710526315789,0.766666666666667
"P389511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,1,0.928571428571429,1,0.857142857142857,0.571428571428571,0.428571428571429,1,0.928571428571429,1,1,0.285714285714286,0.928571428571429
"P429503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.972222222222222,0.780701754385965,0.692982456140351,0.786407766990291,1,0.444444444444444,1,1,0.491228070175439,0.233333333333333
"P429504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.916666666666667,1,0.875,1,1,1,1,0.625,1
"P432448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.714285714285714,0.0714285714285714,0.785714285714286,1,0.571428571428571,1,1,0.0714285714285714,0
"P437074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930555555555556,0.944444444444444,0.847222222222222,1,1,0.928571428571429,1,0.388888888888889,1
"P447996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683760683760684,0.485436893203884,1,0.444444444444444,1,1,0.487012987012987,0.7
"P459216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485436893203884,1,0.333333333333333,1,1,0.282051282051282,0.5
"P459217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,1,1,0.194174757281553,0.833333333333333
"P459218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.209876543209877,1
"P459226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.388888888888889,0.5
"P492330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.857142857142857,1
"Q000001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993377483443709,1
"Q000039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333333333
