,id_line,label,lemma,base,extent,scope,id_text,line
0,P145550.3,o 1,gi[reed]N dub[tablet]N,gi dub,,,P145550,3
1,P145550.4,o 2,gi[reed]N girgi[reed-strip]N,gi gir-gi₄,,,P145550,4
2,P145550.5,o 3,gi[reed]N dub[tablet]N,gi dub,,,P145550,5
3,P145550.6,o 4,gi[reed]N girgi[reed-strip]N,gi gir-gi₄,,,P145550,6
4,P209775.1,1,bandudu[basket]N,{gi}ba-an-du₈,,,P209775,1
5,P209775.2,2,bandudu[basket]N x[NA]NA,{gi}ba-an-du₈ x,,,P209775,2
6,P209775.3,3,bandudu[basket]N x[NA]NA,{gi}ba-an-du₈ x,,,P209775,3
7,P209818.3,o 1,guhšu[altar]N,{gi}gu-gu-un,,,P209818,3
8,P209818.4,o 2,guhšu[altar]N,{gi}gu-un-šu₂,,,P209818,4
9,P209818.5,o 3,guhšu[altar]N,{gi}gu-gu-un-šu₂,,,P209818,5
10,P247853.1,1,šikum[leather-object]N kuš[skin]N su[red]V/i sig[put]V/t,{kuš}ši-kum kuš su₁₃ sig₉,,,P247853,1
11,P247853.2,2,šikum[leather-object]N kuš[skin]N dušia[stone]N sig[put]V/t,{kuš}ši-kum kuš du₈-ši-a sig₉,,,P247853,2
12,P247853.3,3,esir[shoe]N,{kuš}e-sir₂,,,P247853,3
13,P247857.3,,,,n,line,P247857,3
14,P247857.5,,,,1-15,line,P247857,5
15,P247857.6,o ii 16,x[NA]NA,x,,,P247857,6
16,P247857.7,,,,4,line,P247857,7
17,P247857.8,o ii 21,x[NA]NA,x,,,P247857,8
18,P247857.9,o ii 22,x[NA]NA,x,,,P247857,9
19,P247857.10,,,,10,line,P247857,10
20,P247857.11,o ii 33,x[NA]NA,x,,,P247857,11
21,P247857.12,,,,1,line,P247857,12
22,P247857.13,o ii 35,x[NA]NA,x,,,P247857,13
23,P247857.15,o iii 1,{kuš}x[NA]NA,{kuš}x,,,P247857,15
24,P247857.16,o iii 2,niŋumbinak[leather-object]N,{kuš}niŋ₂-umbin-na,,,P247857,16
25,P247857.17,o iii 3,niŋ[thing]N hulu[bad]V/i,{kuš}niŋ₂ hul,,,P247857,17
26,P247857.18,o iii 4,hirin[a-leather-object]N,{kuš}hi-ru,,,P247857,18
27,P247857.19,o iii 5,zimaharu[leather-object]N,zi-mu-ha-ru-um,,,P247857,19
28,P247857.20,o iii 6,kuštab[double-pouch]N,kuš-tab,,,P247857,20
29,P247857.21,o iii 7,tun[container]N,{kuš}tun₃,,,P247857,21
30,P247857.22,o iii 8,tun[container]N šuʾi[barber]N,{kuš}tun₃ šu-i,,,P247857,22
31,P247857.23,o iii 9,tun[container]N azu[doctor]N,{kuš}tun₃ a-zu,,,P247857,23
32,P247857.24,o iii 10,tun[container]N muhaldim[cook]N,{kuš}tun₃ muhaldim,,,P247857,24
33,P247857.25,o iii 11,lal[strap]N,{kuš}la₂-la₂,,,P247857,25
34,P247857.26,o iii 12,har[ring]N lal[strap]N,{kuš}har la₂-la₂,,,P247857,26
35,P247857.27,o iii 13,murub[middle]N lal[strap]N,{kuš}murub₄ la₂-la₂,,,P247857,27
36,P247857.28,o iii 14,ala[manacles]N,{kuš}a₂{+ul}-la₂,,,P247857,28
37,P247857.29,o iii 15,ala[drum]N,{kuš}a₂-la₂,,,P247857,29
38,P247857.30,o iii 16,{kuš}|LAGAB×U|-x[NA]NA,{kuš}|LAGAB×U|-x,,,P247857,30
39,P247857.31,o iii 17,{kuš}KAD₅-x[NA]NA,{kuš}KAD₅-x,,,P247857,31
40,P247857.32,o iii 18,{kuš}ka{+x-ab}-dab₅[NA]NA,{kuš}ka{+x-ab}-dab₅,,,P247857,32
41,P247857.33,o iii 19,asi[strap]N ig[door]N,{kuš}si ig,,,P247857,33
42,P247857.34,o iii 20,asi[strap]N ig[door]N,{kuš}si ig,,,P247857,34
43,P247857.35,o iii 21,har[ring]N,{kuš}har,,,P247857,35
44,P247857.36,o iii 22,kuš[skin]N sa[half]N,kuš {+sa}sa₉,,,P247857,36
45,P247857.37,o iii 23,kuš[skin]N sa[half]N,kuš sa₉,,,P247857,37
46,P247857.38,o iii 24,imkid[piece]N,{kuš}im-kid₂,,,P247857,38
47,P247857.39,o iii 25,bar[outside]V/t imkid[piece]N,{kuš}bar im-kid₂,,,P247857,39
48,P247857.40,o iii 26,zagbar[scraps]N,{kuš}zag-bar,,,P247857,40
49,P247857.41,o iii 27,{kuš}DUN₃[NA]NA,{kuš}DUN₃,,,P247857,41
50,P247857.42,o iii 28,kadu[cover]N,{kuš}ka-du₃,,,P247857,42
51,P247857.43,o iii 29,baranše[goad]N,{kuš}bar-anše,,,P247857,43
52,P247857.44,o iii 30,baranše[goad]N,{kuš}bar-anše,,,P247857,44
53,P247857.45,o iii 31,{kuš}|LU₂×GAN₂@t|-PAP[NA]NA,{kuš}|LU₂×GAN₂@t|-PAP,,,P247857,45
54,P247857.46,o iii 32,{kuš}|LU₂×GAN₂@t|-PAP[NA]NA,{kuš}|LU₂×GAN₂@t|-PAP,,,P247857,46
