doc_A,doc_B,dist
P253228,P346714,4
P253228,P347814,4
P253228,P370399,4
P253228,P388265,3.4
P253228,P429503,4
P253228,P437074,4
P253228,P447996,3.11111111111111
P253228,P459216,3.42857142857143
P253228,P459217,3.55555555555556
P253228,P459218,4
P253228,Q000039,3.71428571428571
P253233,P235262,3.33333333333333
P253233,P247864,4
P253233,P250364,8
P253233,P253228,1.75
P253233,P253233,0.142857142857143
P253233,P253238,2.5
P253233,P253866,8
P253233,P271301,2.4
P253233,P271771,3.33333333333333
P253233,P271911,4
P253233,P273880,3.33333333333333
P253233,P332934,2.66666666666667
P253233,P346714,4
P253233,P347814,8
P253233,P370399,3.33333333333333
P253233,P388265,2.66666666666667
P253233,P429503,2.33333333333333
P253233,P437074,3
P253233,P447996,3.11111111111111
P253233,P459216,3.11111111111111
P253233,P459217,3
P253233,P459218,8
P253233,Q000039,3
P253238,P235262,4
P253238,P247864,3.2
P253238,P250364,4
P253238,P253228,3.5
P253238,P253233,2.5
P253238,P253238,0.666666666666667
P253238,P253866,8
P253238,P271301,0.75
P253238,P271771,2
P253238,P271911,8
P253238,P273880,3.6
P253238,P332934,1.71428571428571
P253238,P346714,4
P253238,P347814,8
P253238,P370399,8
P253238,P388265,3
P253238,P429503,1.2
P253238,P437074,8
P253238,P447996,3.5
P253238,P459216,2.8
P253238,P459217,2
P253238,P459218,8
P253238,Q000039,0.666666666666667
P253866,P235262,4
P253866,P247864,3.5
P253866,P250364,4
P253866,P253228,4
P253866,P253233,8
P253866,P253238,8
P253866,P253866,0.428571428571428
P253866,P271301,3.33333333333333
P253866,P271771,3
P253866,P271911,4
P253866,P273880,4
P253866,P332934,4
P253866,P346714,3.33333333333333
P253866,P347814,4
P253866,P370399,4
P253866,P388265,2.88888888888889
P253866,P429503,4
P253866,P437074,3.33333333333333
P253866,P447996,4
P253866,P459216,3.33333333333333
P253866,P459217,4
P253866,P459218,4
P253866,Q000039,3.38461538461538
P271301,P235262,2.18181818181818
P271301,P247864,3.11111111111111
P271301,P250364,3.5
P271301,P253228,3.09090909090909
P271301,P253233,2.4
P271301,P253238,0.75
P271301,P253866,3.33333333333333
P271301,P271301,0.146341463414634
P271301,P271771,2.30769230769231
P271301,P271911,8
P271301,P273880,3.12
P271301,P332934,2.0952380952381
P271301,P346714,3.6
P271301,P347814,8
P271301,P370399,3
P271301,P388265,3
P271301,P429503,2.26666666666667
P271301,P437074,2
P271301,P447996,3.06666666666667
P271301,P459216,2.22222222222222
P271301,P459217,1.875
P271301,P459218,8
P271301,Q000039,1.35
P271771,P235262,4
P271771,P247864,3.71428571428571
P271771,P250364,4
P271771,P253228,3.2
P271771,P253233,3.33333333333333
P271771,P253238,2
P271771,P253866,3
P271771,P271301,2.30769230769231
P271771,P271771,0.428571428571428
P271771,P271911,8
P271771,P273880,3.14285714285714
P271771,P332934,2.5
P271771,P346714,8
P271771,P347814,8
P271771,P370399,3.5
P271771,P388265,3.33333333333333
P271771,P429503,3.5
P271771,P437074,3.33333333333333
P271771,P447996,4
P271771,P459216,2.66666666666667
P271771,P459217,2
P271771,P459218,8
P271771,Q000039,2.57142857142857
P271911,P235262,8
P271911,P247864,3.6
P271911,P250364,3.5
P271911,P253228,4
P271911,P253233,4
P271911,P253238,8
P271911,P253866,4
P271911,P271301,8
P271911,P271771,8
P271911,P271911,0
P271911,P273880,3.33333333333333
P271911,P332934,8
P271911,P346714,2.8
P271911,P347814,3.15789473684211
P271911,P370399,4
P271911,P388265,3.66666666666667
P271911,P429503,8
P271911,P437074,8
P271911,P447996,4
P271911,P459216,8
P271911,P459217,4
P271911,P459218,2
P271911,Q000039,2.34285714285714
P273880,P235262,2.83333333333333
P273880,P247864,3.53846153846154
P273880,P250364,3.42857142857143
P273880,P253228,3.6
P273880,P253233,3.33333333333333
P273880,P253238,3.6
P273880,P253866,4
P273880,P271301,3.12
P273880,P271771,3.14285714285714
P273880,P271911,3.33333333333333
P273880,P273880,0
P273880,P332934,3.63636363636364
P273880,P346714,3.09090909090909
P273880,P347814,3.375
P273880,P370399,2.94117647058824
P273880,P388265,3.48148148148148
P273880,P429503,3.81818181818182
P273880,P437074,3.6
P273880,P447996,3.6
P273880,P459216,3.69230769230769
P273880,P459217,3.5
P273880,P459218,3.27272727272727
P273880,Q000039,3.29032258064516
P332934,P235262,3.2
P332934,P247864,3
P332934,P250364,3.33333333333333
P332934,P253228,3.2
P332934,P253233,2.66666666666667
P332934,P253238,1.71428571428571
P332934,P253866,4
P332934,P271301,2.0952380952381
P332934,P271771,2.5
P332934,P271911,8
P332934,P273880,3.63636363636364
P332934,P332934,0.0833333333333335
P332934,P346714,3.5
P332934,P347814,8
P332934,P370399,3.33333333333333
P332934,P388265,3.2
P332934,P429503,2.4
P332934,P437074,4
P332934,P447996,3.42857142857143
P332934,P459216,2.13333333333333
P332934,P459217,2
P332934,P459218,8
P332934,Q000039,2.17391304347826
P346714,P235262,3.5
P346714,P247864,3
P346714,P250364,2.8
P346714,P253228,4
P346714,P253233,4
P346714,P253238,4
P346714,P253866,3.33333333333333
P346714,P271301,3.6
P346714,P271771,8
P346714,P271911,2.8
P346714,P273880,3.09090909090909
P346714,P332934,3.5
P346714,P346714,0.352941176470588
P346714,P347814,3.5
P346714,P370399,3
P346714,P388265,3.8
P346714,P429503,4
P346714,P437074,8
P346714,P447996,4
P346714,P459216,4
P346714,P459217,4
P346714,P459218,3.14285714285714
P346714,Q000039,3.29411764705882
P347814,P235262,8
P347814,P247864,3.71428571428571
P347814,P250364,4
P347814,P253228,4
P347814,P253233,8
P347814,P253238,8
P347814,P253866,4
P347814,P271301,8
P347814,P271771,8
P347814,P271911,3.15789473684211
P347814,P273880,3.375
P347814,P332934,8
P347814,P346714,3.5
P347814,P347814,0.0833333333333335
P347814,P370399,4
P347814,P388265,3.77777777777778
P347814,P429503,8
P347814,P437074,8
P347814,P447996,8
P347814,P459216,8
P347814,P459217,8
P347814,P459218,3.42857142857143
