doc_A,doc_B,dist
P235262,P235262,0.428571428571428
P235262,P247864,3.11111111111111
P235262,P250364,3
P235262,P253228,4
P235262,P253233,3.5
P235262,P253238,4
P235262,P253866,4
P235262,P271301,1.77777777777778
P235262,P271771,4
P235262,P271911,8
P235262,P273880,3.42857142857143
P235262,P332934,3.6
P235262,P346714,4
P235262,P347814,8
P235262,P370399,2.66666666666667
P235262,P388265,4
P235262,P429503,3.5
P235262,P437074,4
P235262,P447996,4
P235262,P459216,2.88888888888889
P235262,P459217,2
P235262,P459218,4
P235262,Q000039,2.57142857142857
P247864,P235262,3.11111111111111
P247864,P247864,0.181818181818182
P247864,P250364,2
P247864,P253228,3.42857142857143
P247864,P253233,3.33333333333333
P247864,P253238,4
P247864,P253866,3.5
P247864,P271301,2.94736842105263
P247864,P271771,3.2
P247864,P271911,3.77777777777778
P247864,P273880,3.27272727272727
P247864,P332934,3.33333333333333
P247864,P346714,3.6
P247864,P347814,3.71428571428571
P247864,P370399,3.28571428571429
P247864,P388265,3.23809523809524
P247864,P429503,3.4
P247864,P437074,2.66666666666667
P247864,P447996,3.2
P247864,P459216,3.33333333333333
P247864,P459217,3.5
P247864,P459218,3.6
P247864,Q000039,3.33333333333333
P250364,P235262,3
P250364,P247864,2
P250364,P250364,0.857142857142857
P250364,P253228,4
P250364,P253233,8
P250364,P253238,8
P250364,P253866,4
P250364,P271301,3
P250364,P271771,8
P250364,P271911,3.5
P250364,P273880,2.66666666666667
P250364,P332934,3
P250364,P346714,3.5
P250364,P347814,4
P250364,P370399,2.66666666666667
P250364,P388265,3.6
P250364,P429503,4
P250364,P437074,8
P250364,P447996,8
P250364,P459216,4
P250364,P459217,8
P250364,P459218,3
P250364,Q000039,4
P253228,P235262,4
P253228,P247864,3.42857142857143
P253228,P250364,4
P253228,P253228,0.5
P253228,P253233,2.28571428571429
P253228,P253238,3.33333333333333
P253228,P253866,4
P253228,P271301,3.71428571428571
P253228,P271771,3.33333333333333
P253228,P271911,4
P253228,P273880,4
P253228,P332934,3.11111111111111
P253228,P346714,4
P253228,P347814,4
P253228,P370399,4
P253228,P388265,3.55555555555556
P253228,P429503,3.6
P253228,P437074,8
P253228,P447996,3
P253228,P459216,3
P253228,P459217,3.55555555555556
P253228,P459218,4
P253228,Q000039,3.66666666666667
P253233,P235262,3.5
P253233,P247864,3.33333333333333
P253233,P250364,8
P253233,P253228,2.28571428571429
P253233,P253233,0.461538461538462
P253233,P253238,2.5
P253233,P253866,8
P253233,P271301,4
